params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.9510208600881107,100,-0.08938304587909796,-0.088365434669443,-0.11702127659574464,-0.07109374999999998,0.00893632722579525
"{""discount_factor"": 0.1}",5.303550284173657,100,-0.08049590289887139,-0.0784,-0.10833333333333332,-0.0642,0.010685732603341247
"{""discount_factor"": 0.2}",52.15797995868745,100,-0.07924089533937523,-0.0795,-0.09930000000000001,-0.0631,0.010518354410707927
"{""discount_factor"": 0.3}",5.266379566295782,100,-0.07731220898100015,-0.07398080168776372,-0.09920000000000001,-0.06309999999999999,0.010145144889434141
"{""discount_factor"": 0.4}",68.63765655291964,100,-0.07641471741484346,-0.074609200968523,-0.09870000000000002,-0.058399999999999994,0.009908642885990861
"{""discount_factor"": 0.5}",76.47113340117673,100,-0.07743855263027748,-0.0746,-0.09780000000000001,-0.06320907617504051,0.009643634983335786
"{""discount_factor"": 0.6}",5.9388890887049115,100,-0.07567495646688296,-0.07386358024691358,-0.0989,-0.0594,0.008217287008910805
"{""discount_factor"": 0.7}",6.628413416071282,100,-0.07574536771920691,-0.07421102268691819,-0.09855072463768114,-0.06259999999999999,0.009134278263280695
"{""discount_factor"": 0.8}",7.1082867703218255,100,-0.07454197062812352,-0.07286800486618004,-0.10000000000000002,-0.0588,0.008207886715655765
"{""discount_factor"": 0.9}",7.103503174606516,100,-0.07270794445619527,-0.07235,-0.1125,-0.05932203389830508,0.00703168314204088
