params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.468789911782409,100,-0.04165199999999999,-0.0422,-0.050699999999999995,-0.025,0.005048098255779099
"{""discount_factor"": 0.1}",3.5678423606688625,100,-0.045707000000000005,-0.045649999999999996,-0.05589999999999999,-0.030900000000000004,0.003890456399961319
"{""discount_factor"": 0.2}",3.6150594758285024,100,-0.04553959490848413,-0.045849999999999995,-0.051399999999999994,-0.0353,0.003045562346067695
"{""discount_factor"": 0.3}",3.667529166675479,100,-0.0460278066143285,-0.046299999999999994,-0.0522,-0.0365,0.0028766434235100212
"{""discount_factor"": 0.4}",3.659687680495608,100,-0.04541525126847032,-0.04545,-0.0535,-0.036699999999999997,0.003169145081558479
"{""discount_factor"": 0.5}",3.612916272617724,100,-0.04594116157898081,-0.046549999999999994,-0.0523,-0.036231884057971016,0.003179341592427181
"{""discount_factor"": 0.6}",3.551077560824581,100,-0.04571999999999999,-0.045899999999999996,-0.052599999999999994,-0.037,0.0032386725675807356
"{""discount_factor"": 0.7}",80.33156143531852,100,-0.04360699999999999,-0.04405,-0.04939999999999999,-0.034,0.002728158902996671
"{""discount_factor"": 0.8}",116.50453464845191,100,-0.043332684210526315,-0.0436,-0.048299999999999996,-0.0365,0.002550735627421476
"{""discount_factor"": 0.9}",222.52836976214604,100,-0.043346757924589537,-0.043649999999999994,-0.0486,-0.0342,0.0025568588650705416
