params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",77.15688790532295,100,-0.044117628779098396,-0.0441,-0.05009999999999999,-0.03746081504702194,0.0022623036966352133
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",92.08621015521567,100,-0.046635,-0.046549999999999994,-0.056,-0.038,0.0033087875422879603
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",77.1148641262771,100,-0.04742997238895558,-0.0474,-0.054700000000000006,-0.03739999999999999,0.0037706417473845565
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",76.01262931329256,100,-0.04547017955949686,-0.046049999999999994,-0.054299999999999994,-0.032,0.004070442237358794
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",78.0869954322061,100,-0.04690413776301045,-0.0469,-0.0556,-0.038799999999999994,0.003347613110094643
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",77.3033161468029,100,-0.04620900602208788,-0.04665,-0.052899999999999996,-0.037,0.002884327659544359
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",77.54622555750393,100,-0.043591000000000005,-0.04395,-0.0495,-0.0335,0.0026240081935847686
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",72.88995790464105,100,-0.04264899999999999,-0.043,-0.048799999999999996,-0.0332,0.0027403830024286748
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",65.90330338208514,100,-0.04337754146209915,-0.043649999999999994,-0.0513,-0.0355,0.0029157969626158065
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",64.2821718497762,100,-0.030603,-0.0305,-0.037,-0.024599999999999997,0.002752179318285784
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",67.09720896971703,100,-0.048677,-0.049,-0.0561,-0.033,0.003958379845340767
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",65.59297263484223,100,-0.046941,-0.04694999999999999,-0.053700000000000005,-0.03939999999999999,0.00331397329500405
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",62.38747654218605,100,-0.04658537651723516,-0.04705,-0.057454545454545446,-0.0338,0.004053079391415893
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",62.414241899163244,100,-0.045356845360824724,-0.045399999999999996,-0.05239999999999999,-0.036,0.003431263911040361
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",61.96885373537225,100,-0.04782017532467817,-0.04819999999999999,-0.05589999999999999,-0.0345,0.004143953167888703
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",62.04688918179454,100,-0.04360657530974772,-0.04345,-0.056,-0.0354,0.003014173032004735
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",62.18192967275172,100,-0.043019999999999996,-0.04295,-0.05,-0.037,0.003246906219772908
