episode,length,time,reward,delta
0,29.0,0.0019168234045991994,-2.7,-0.99
1,9.0,0.0006181367600675003,-1.6,-1.0
2,11.0,0.0007542467369603401,-2.0999999999999996,-1.0
3,15.0,0.0009644061831295403,-2.0,-0.99
4,9.0,0.00060896873060301,-1.9,-0.99
5,5.0,0.00037624182732542977,-1.4,-0.99
6,28.0,0.0017242947844806622,-3.0000000000000004,-1.0
7,26.0,0.001607931332955559,-3.0000000000000004,-1.0
8,16.0,0.001021530059460929,-2.6000000000000005,-1.0
9,16.0,0.0010236457587780023,-2.2,-0.9
10,4.0,0.0003120656206192507,-1.4,-0.988824
11,17.0,0.0010772434698083089,-2.4000000000000004,-0.99
12,34.0,0.002060338328647049,-3.400000000000001,-0.898109842607616
13,23.0,0.00144678558308442,-2.7,-0.9804
14,30.0,0.001829727124004421,-3.3000000000000007,-0.9749700837785031
15,46.0,0.002781086496270291,-4.8000000000000025,-1.0
16,19.0,0.001189022906601167,-2.8000000000000007,-0.9602556694283768
17,11.0,0.0007334423623888142,-1.9,-0.9864309187543239
18,18.0,0.0011502350894261326,-1.5,-0.8642854420419654
19,4.0,0.00031594440224580467,-1.4,-0.8822728200330332
20,24.0,0.0014957992793824815,-2.0,-1.0
21,8.0,0.000548318689197913,-1.7999999999999998,-1.0
22,9.0,0.0006773763354885887,-1.5,-0.8899416
23,15.0,0.0009622904840398405,-2.0999999999999996,-0.7940455380297298
24,29.0,0.0017944654721304687,-3.0000000000000004,-0.99
25,6.0,0.00044041803380423517,-1.6,-0.9
26,15.0,0.0009721637466100219,-2.2,-0.8248853017226301
27,17.0,0.0010804170183291717,-2.4000000000000004,-0.8736829363529411
28,8.0,0.0005490239223036042,-1.2,-0.89211
29,25.0,0.0015356449462160526,-2.6000000000000005,-1.0
30,25.0,0.001538113261858598,-3.2000000000000006,-0.88236
31,14.0,0.0008952933451382705,-2.0,-0.7146409842267568
32,59.0,0.00374267174720444,-3.8999999999999986,1.0
33,21.0,0.0013233698009571526,-2.0999999999999996,-1.0
34,26.0,0.0015994685363693861,-2.7,-0.8919
35,28.0,0.0017070165749828448,-2.3,-0.8723669854580454
36,8.0,0.0005486713057507586,-1.4,-0.742396771550367
37,22.0,0.0013618050015793415,-2.8000000000000007,-1.0
38,24.0,0.0014876890993491543,-3.1000000000000005,-0.8870247569527757
39,17.0,0.0010747751539383898,-1.6,-0.6431768858040812
40,9.0,0.0006054425655293016,-1.6,-0.6681570943953303
41,2.0,0.0001914707704600005,-1.2,-0.7959850936901908
42,12.0,0.0007754037283120851,-2.2,-1.0
43,17.0,0.0010656071247012733,-2.4000000000000004,-0.9
44,4.0,0.00030607113967562327,-1.2,-0.6040466630568637
45,32.0,0.001937627779398099,-3.9000000000000012,-1.0
46,91.0,0.005560057293223508,-8.999999999999988,-0.9
47,8.0,0.0005529027039301582,-1.6,-0.8020135603594716
48,6.0,0.00043266047032375354,-1.4,-0.7218122043235244
49,27.0,0.0016608238108801743,-3.400000000000001,-1.0
50,28.0,0.0017218264688381169,-3.2000000000000006,-0.8147167523879262
51,37.0,0.0022454620016105764,-4.100000000000001,-1.0
52,7.0,0.0004866107981342793,-1.4,-0.6419003799249892
53,10.0,0.0006667978398127161,-1.9,-0.9
54,14.0,0.0009076349235783709,-2.3,-0.7360477039344775
55,21.0,0.001308912523654726,-2.7,-0.971274
