steps,time,reward,delta,converged
1,0.05619437915447634,-0.0853220696937694,0.9999435497551104,False
2,0.05902835812594276,-0.07652347652347645,0.9999435497551104,False
3,0.05870888756180648,-0.07332667332667343,0.9999435497551104,False
4,0.042080902923771646,-0.0717912552891403,0.9999435497551104,False
5,0.05874943845265079,-0.07342657342657352,0.9999435497551104,False
6,0.05890705803903984,-0.06473526473526534,0.9999435497551104,False
7,0.0505867186220712,-0.0707943925233652,0.9999435497551104,False
8,0.058842529222602025,-0.06713286713286759,0.9999435497551104,False
9,0.046440653582976665,-0.06341772151898792,1.0000585093214673,False
10,0.05934218683250947,-0.06603396603396655,1.0000585093214673,False
11,0.04208513432240579,-0.060511363636364134,1.090020835057092,False
12,0.05904387324699201,-0.05984015984016042,1.090020835057092,False
13,0.059091829098179005,-0.06413586413586476,1.090020835057092,False
14,0.018187254885560833,-0.06233766233766239,1.090020835057092,False
15,0.059240280657832045,-0.06283716283716347,1.090020835057092,False
16,0.05887814348534448,-0.06203796203796265,1.090020835057092,False
17,0.04587787761556683,-0.05927835051546443,1.090020835057092,False
18,0.05916235240147216,-0.060139860139860724,1.090020835057092,False
19,0.05925226960971486,-0.04785214785214826,1.090020835057092,False
20,0.05894302492379211,-0.05924075924075981,1.090020835057092,False
21,0.05906291454448365,-0.0582417582417588,1.090020835057092,False
22,0.058987101991078816,-0.05974025974026032,1.090020835057092,False
23,0.020428132876986638,-0.059654178674351695,1.090020835057092,False
24,0.058819609141210094,-0.053446553446553934,1.090020835057092,False
25,0.014892406121362,-0.06086956521739116,1.090020835057092,False
26,0.05920325592160225,-0.055644355644356165,1.090020835057092,False
27,0.05891446298483061,-0.058641358641359206,1.090020835057092,False
28,0.05878470010793535,-0.0504495504495509,1.090020835057092,False
29,0.059083013686176855,-0.05574425574425627,1.090020835057092,False
30,0.04983670328510925,-0.053444180522565776,1.099997304958268,False
31,0.058904942343360744,-0.03466533466533489,1.099997304958268,False
32,0.059423993865493685,-0.04955044955044999,1.099997304958268,False
33,0.05924239635351114,-0.059440559440560016,1.099997304958268,False
34,0.03393934008636279,-0.055574912891986405,1.099997304958268,False
35,0.058829835026699584,-0.05214785214785262,1.099997304958268,False
36,0.05887109115428757,-0.05634365634365687,1.099997304958268,False
37,0.05914577942166943,-0.05154845154845201,1.099997304958268,False
38,0.05884323445206974,-0.05444555444555495,1.099997304958268,False
39,0.05899556479562307,-0.05144855144855191,1.099997304958268,False
40,0.05938238510861993,-0.047752247752248164,1.099997304958268,False
41,0.059256501008349005,-0.04835164835164877,1.099997304958268,False
42,0.059400015939900186,-0.04885114885114927,1.099997304958268,False
43,0.059401779020845424,-0.0507492507492512,1.099997304958268,False
44,0.059619696032314096,-0.043556443556443905,1.099997304958268,False
45,0.05899062815296929,-0.05244755244755292,1.099997304958268,False
46,0.059161999786738306,-0.04695304695304735,1.099997304958268,False
47,0.059275542305840645,-0.04835164835164877,1.099997304958268,False
48,0.0592469803741551,-0.04915084915084958,1.099997304958268,False
49,0.058812909432162996,-0.05154845154845201,1.099997304958268,False
50,0.058667631426942535,-0.05204795204795252,1.099997304958268,False
51,0.05860345521796262,-0.050249750249750695,1.099997304958268,False
52,0.05879069459479069,-0.046553446553446946,1.099997304958268,False
53,0.05895959790359484,-0.0432567432567436,1.099997304958268,False
54,0.05904211016604677,-0.05214785214785262,1.099997304958268,False
55,0.05941094705485739,-0.047252747252747654,1.099997304958268,False
56,0.05913379046978662,-0.052347652347652825,1.099997304958268,False
57,0.05913237999629928,-0.05004995004995049,1.099997304958268,False
58,0.04667055955360411,-0.04842370744010125,1.099997304958268,False
59,0.05883230334438849,-0.05594405594405647,1.099997304958268,False
60,0.059357701960834675,-0.05964035964036022,1.099997304958268,False
61,0.05872405006812187,-0.05444555444555496,1.099997304958268,False
62,0.05916905211779522,-0.04905094905094948,1.099997304958268,False
63,0.05882278269564267,-0.05154845154845201,1.099997304958268,False
64,0.039938757559866644,-0.05294985250737501,1.099997304958268,False
65,0.05968669316644082,-0.05904095904095961,1.099997304958268,False
66,0.05859851858986076,-0.05524475524475576,1.099997304958268,False
67,0.05866692619747482,-0.04695304695304735,1.099997304958268,False
68,0.0389454368269071,-0.051351351351351694,1.099997304958268,False
69,0.01615230494644493,-0.04854014598540133,1.107027212100947,False
70,0.027297807922877837,-0.046781115879828444,1.107027212100947,False
71,0.030454078398179263,-0.047490347490347674,1.107027212100947,False
72,0.02084492560243234,-0.05464788732394372,1.107027212100947,False
73,0.058708534939796664,-0.061438561438562043,1.107027212100947,False
74,0.05836473383533303,-0.05294705294705343,1.107027212100947,False
75,0.059189151259488426,-0.047252747252747654,1.107027212100947,False
76,0.058817493445531,-0.0508491508491513,1.107027212100947,False
77,0.058963124072761275,-0.04665334665334705,1.107027212100947,False
78,0.05869654598063789,-0.042757242757243095,1.107027212100947,False
79,0.05878787366236793,-0.04415584415584451,1.107027212100947,False
80,0.05879069459479069,-0.04445554445554482,1.107027212100947,False
81,0.05902201102435356,-0.041958041958042286,1.107027212100947,False
82,0.05884041351964697,-0.046053946053946436,1.107027212100947,False
83,0.05873321810213383,-0.04495504495504533,1.107027212100947,False
84,0.05861932296102168,-0.04705294705294745,1.107027212100947,False
85,0.05904986773384735,-0.04835164835164877,1.107027212100947,False
86,0.05868914102757117,-0.05224775224775272,1.107027212100947,False
87,0.05871523465611972,-0.048551448551448974,1.107027212100947,False
88,0.05863836425123736,-0.04755244755244796,1.107027212100947,False
89,0.05874097566265846,-0.04585414585414624,1.107027212100947,False
90,0.05872369745338801,-0.0434565434565438,1.107027212100947,False
91,0.05935488102113595,-0.048151848151848566,1.107027212100947,False
92,0.05911545440903865,-0.05514485514485566,1.107027212100947,False
93,0.05910205497639254,-0.060639360639361234,1.107027212100947,False
94,0.058754022473294754,-0.05224775224775272,1.107027212100947,False
95,0.017711927815980744,-0.05284280936454839,1.107027212100947,False
96,0.01094627464772202,-0.04919786096256674,1.107027212100947,False
97,0.0389916295898729,-0.05282442748091639,1.107027212100947,False
98,0.05898216536297696,-0.053946053946054444,1.107027212100947,False
99,0.059110870395670645,-0.04585414585414624,1.107027212100947,False
100,0.05885733911418356,-0.04845154845154887,1.107027212100947,False
101,0.05884358706680359,-0.05174825174825221,1.107027212100947,False
102,0.059212423948338255,-0.053446553446553934,1.107027212100947,False
103,0.05900649590330431,-0.04935064935064978,1.107027212100947,False
104,0.05918738817126723,-0.04255744255744289,1.107027212100947,False
105,0.05877694254013477,-0.04955044955044999,1.107027212100947,False
106,0.058841823985858355,-0.048051948051948463,1.107027212100947,False
107,0.05904246278805658,-0.044855144855145225,1.107027212100947,False
108,0.05912356458429713,-0.04835164835164877,1.107027212100947,False
109,0.059740290882473346,-0.046453546453546844,1.107027212100947,False
110,0.05885063940513646,-0.043556443556443905,1.107027212100947,False
111,0.05899098077497911,-0.04425574425574461,1.107027212100947,False
112,0.05885487079649465,-0.052647352647353124,1.107027212100947,False
113,0.05892504148505395,-0.046053946053946436,1.107027212100947,False
114,0.058984633680665866,-0.04555444555444593,1.107027212100947,False
115,0.05893103596463334,-0.042257742257742585,1.107027212100947,False
116,0.05864506396756042,-0.04745254745254786,1.107027212100947,False
117,0.059135553550731856,-0.04615384615384654,1.107027212100947,False
118,0.05896700284938561,-0.04625374625374664,1.107027212100947,False
119,0.059374627548095305,-0.04445554445554482,1.107027212100947,False
120,0.05906220930773998,-0.046053946053946436,1.107027212100947,False
121,0.058864038830506615,-0.045254745254745626,1.107027212100947,False
122,0.05913308523304295,-0.045154845154845524,1.107027212100947,False
123,0.059130264293344226,-0.045154845154845524,1.107027212100947,False
124,0.05914895297610201,-0.0433566433566437,1.107027212100947,False
125,0.05872792885202216,-0.04205794205794239,1.107027212100947,False
126,0.0592649638056173,-0.04505494505494542,1.107027212100947,False
127,0.05877694254741073,-0.0433566433566437,1.107027212100947,False
128,0.058996622639824636,-0.0433566433566437,1.107027212100947,False
129,0.05853222668520175,-0.058041958041958594,1.107027212100947,False
130,0.05901178514614003,-0.053246753246753736,1.107027212100947,False
131,0.059146837280422915,-0.04995004995005039,1.107027212100947,False
132,0.058927509795466904,-0.04675324675324715,1.107027212100947,False
133,0.059049515119113494,-0.04765234765234806,1.107027212100947,False
134,0.058837945201958064,-0.045954045954046334,1.107027212100947,False
135,0.059031179058365524,-0.05144855144855191,1.107027212100947,False
136,0.05894760894443607,-0.04135864135864167,1.107027212100947,False
137,0.05889718478283612,-0.04255744255744289,1.107027212100947,False
138,0.05903893661889015,-0.0430569430569434,1.107027212100947,False
139,0.05917469397536479,-0.04985014985015029,1.107027212100947,False
140,0.058801978317205794,-0.04395604395604431,1.107027212100947,False
141,0.05879175244626822,-0.051048951048951505,1.107027212100947,False
142,0.05884041351964697,-0.05244755244755292,1.107027212100947,False
143,0.045817580190487206,-0.05458064516129077,1.107027212100947,False
144,0.018336411681957543,-0.04472843450479221,1.107027212100947,False
145,0.05904034708510153,-0.050649350649351096,1.107027212100947,False
146,0.04903238500264706,-0.05173237753882958,1.107027212100947,False
