step,reward,mean,median,std,max,min
0,-0.07727272727272727,-0.07727272727272727,-0.07727272727272727,0.0,-0.07727272727272727,-0.07727272727272727
1,-0.07613636363636364,-0.07670454545454546,-0.07670454545454546,0.0005681818181818149,-0.07613636363636364,-0.07727272727272727
2,-0.08756038647342995,-0.08032315912750695,-0.07727272727272727,0.005138477421762476,-0.07613636363636364,-0.08756038647342995
3,-0.128,-0.09224236934563021,-0.08241655687307861,0.02111884654359499,-0.07613636363636364,-0.128
4,-0.0651063829787234,-0.08681517207224884,-0.07727272727272727,0.021785830818270936,-0.0651063829787234,-0.128
5,-0.09437148217636022,-0.08807455708960076,-0.08241655687307861,0.020086038438301413,-0.0651063829787234,-0.128
6,-0.09197080291970801,-0.08863116363675894,-0.08756038647342995,0.018645971209811305,-0.0651063829787234,-0.128
7,-0.08416666666666668,-0.0880731015154974,-0.08586352657004831,0.01750409224669424,-0.0651063829787234,-0.128
8,-0.08549618320610687,-0.08778677725889844,-0.08549618320610687,0.01652287517621915,-0.0651063829787234,-0.128
9,-0.07333333333333332,-0.08634143286634194,-0.08483142493638678,0.016263641886056092,-0.0651063829787234,-0.128
10,-0.07903930131004365,-0.08567760272486027,-0.08416666666666668,0.015648218673586324,-0.0651063829787234,-0.128
11,-0.11304347826086959,-0.08795809235286106,-0.08483142493638678,0.016782971957591066,-0.0651063829787234,-0.128
12,-0.09,-0.08811516217187175,-0.08549618320610687,0.01613373540973249,-0.0651063829787234,-0.128
13,-0.08728813559322034,-0.08805608884482521,-0.0863921593996636,0.015548315377917423,-0.0651063829787234,-0.128
14,-0.09361702127659575,-0.08842681767360991,-0.08728813559322034,0.015085012267854704,-0.0651063829787234,-0.128
15,-0.08648648648648649,-0.0883055469744147,-0.08688731103985342,0.014613550019194291,-0.0651063829787234,-0.128
16,-0.08320987654320988,-0.08800580165493206,-0.08648648648648649,0.01422783510545845,-0.0651063829787234,-0.128
17,-0.09307359307359307,-0.08828734562263546,-0.08688731103985342,0.01387561342819665,-0.0651063829787234,-0.128
18,-0.08234672304439747,-0.0879746812764124,-0.08648648648648649,0.013570519983637926,-0.0651063829787234,-0.128
19,-0.07528517110266159,-0.08734020576772486,-0.08599133484629667,0.013512945135919203,-0.0651063829787234,-0.128
20,-0.08118393234672304,-0.0870470498905343,-0.08549618320610687,0.013252293026431355,-0.0651063829787234,-0.128
21,-0.08384615384615383,-0.08690155461578973,-0.08483142493638678,0.012964757649216077,-0.0651063829787234,-0.128
22,-0.10220588235294116,-0.08756696016957892,-0.08549618320610687,0.013058243377896652,-0.0651063829787234,-0.128
23,-0.08854625550660794,-0.08760776414195513,-0.08599133484629667,0.012784799931451846,-0.0651063829787234,-0.128
24,-0.09004192872117402,-0.08770513072512388,-0.08648648648648649,0.012535573020496195,-0.0651063829787234,-0.128
25,-0.07809999999999999,-0.08733570262031143,-0.08599133484629667,0.012430150851258747,-0.0651063829787234,-0.128
26,-0.09111111111111113,-0.08747553256441512,-0.08648648648648649,0.012218611636784737,-0.0651063829787234,-0.128
27,-0.08729016786570745,-0.08746891239660413,-0.08688731103985342,0.01199848774972964,-0.0651063829787234,-0.128
