step,reward,mean,median,std,max,min
0,-0.05099999999999999,-0.05099999999999999,-0.05099999999999999,0.0,-0.05099999999999999,-0.05099999999999999
1,-0.04819999999999999,-0.04959999999999999,-0.04959999999999999,0.0013999999999999985,-0.04819999999999999,-0.05099999999999999
2,-0.0465,-0.04856666666666667,-0.04819999999999999,0.001855322673343429,-0.0465,-0.05099999999999999
3,-0.044899999999999995,-0.04765,-0.047349999999999996,0.0022588713996153005,-0.044899999999999995,-0.05099999999999999
4,-0.049699999999999994,-0.04806,-0.04819999999999999,0.002180458667345013,-0.044899999999999995,-0.05099999999999999
5,-0.04989999999999999,-0.04836666666666666,-0.048949999999999994,0.0021052843566184147,-0.044899999999999995,-0.05099999999999999
6,-0.0472,-0.0482,-0.04819999999999999,0.0019914101249401835,-0.044899999999999995,-0.05099999999999999
7,-0.05,-0.048424999999999996,-0.048949999999999994,0.001955600930660444,-0.044899999999999995,-0.05099999999999999
8,-0.044599999999999994,-0.047999999999999994,-0.04819999999999999,0.002201009869229223,-0.044599999999999994,-0.05099999999999999
9,-0.0493,-0.04812999999999999,-0.048749999999999995,0.002124170426307644,-0.044599999999999994,-0.05099999999999999
10,-0.047299999999999995,-0.048054545454545454,-0.04819999999999999,0.0020393241466737477,-0.044599999999999994,-0.05099999999999999
11,-0.04259999999999999,-0.047599999999999996,-0.047749999999999994,0.002466779276708802,-0.04259999999999999,-0.05099999999999999
12,-0.049199999999999994,-0.04772307692307692,-0.04819999999999999,0.002408048634237289,-0.04259999999999999,-0.05099999999999999
13,-0.047799999999999995,-0.04772857142857142,-0.047999999999999994,0.0023205382908247116,-0.04259999999999999,-0.05099999999999999
14,-0.0451,-0.04755333333333333,-0.047799999999999995,0.002335770156120294,-0.04259999999999999,-0.05099999999999999
15,-0.0508,-0.04775624999999999,-0.047999999999999994,0.002394255821231307,-0.04259999999999999,-0.05099999999999999
16,-0.05039999999999999,-0.04791176470588235,-0.04819999999999999,0.0024046235740489553,-0.04259999999999999,-0.05099999999999999
17,-0.052199999999999996,-0.04815,-0.04869999999999999,0.002534922747014854,-0.04259999999999999,-0.052199999999999996
18,-0.046700000000000005,-0.04807368421052631,-0.04819999999999999,0.002488466470330918,-0.04259999999999999,-0.052199999999999996
19,-0.04409999999999999,-0.047874999999999994,-0.047999999999999994,0.0025754368561469333,-0.04259999999999999,-0.052199999999999996
20,-0.0502,-0.04798571428571428,-0.04819999999999999,0.0025616746223414673,-0.04259999999999999,-0.052199999999999996
21,-0.054,-0.048259090909090904,-0.04869999999999999,0.0027988080402701777,-0.04259999999999999,-0.054
22,-0.0498,-0.048326086956521734,-0.049199999999999994,0.002755266481439302,-0.04259999999999999,-0.054
23,-0.052399999999999995,-0.04849583333333333,-0.049249999999999995,0.0028174277817817365,-0.04259999999999999,-0.054
24,-0.04599999999999999,-0.048396,-0.049199999999999994,0.002803494961650547,-0.04259999999999999,-0.054
25,-0.052399999999999995,-0.048549999999999996,-0.049249999999999995,0.00285485416574863,-0.04259999999999999,-0.054
26,-0.05109999999999999,-0.04864444444444444,-0.0493,0.002842577512325785,-0.04259999999999999,-0.054
27,-0.045,-0.04851428571428571,-0.049249999999999995,0.00287212145158471,-0.04259999999999999,-0.054
28,-0.0429,-0.0483206896551724,-0.049199999999999994,0.0030023415356667093,-0.04259999999999999,-0.054
29,-0.0515,-0.04842666666666666,-0.049249999999999995,0.0030065410173301956,-0.04259999999999999,-0.054
30,-0.036,-0.0480258064516129,-0.049199999999999994,0.0036835263383230565,-0.036,-0.054
31,-0.0499,-0.048084375,-0.049249999999999995,0.003640150183629104,-0.036,-0.054
32,-0.0485,-0.048096969696969694,-0.049199999999999994,0.0035852800785302627,-0.036,-0.054
33,-0.046099999999999995,-0.048038235294117645,-0.04885,0.0035482402188294735,-0.036,-0.054
34,-0.0448,-0.047945714285714286,-0.0485,0.003538550377698501,-0.036,-0.054
35,-0.051,-0.04803055555555555,-0.04885,0.003524975921465788,-0.036,-0.054
36,-0.0499,-0.04808108108108108,-0.049199999999999994,0.003490205433265903,-0.036,-0.054
37,-0.047099999999999996,-0.04805526315789473,-0.04885,0.0034475542336424264,-0.036,-0.054
38,-0.04909999999999999,-0.04808205128205128,-0.04909999999999999,0.0034070719660707982,-0.036,-0.054
39,-0.047200000000000006,-0.048060000000000005,-0.048799999999999996,0.0033670313333855387,-0.036,-0.054
40,-0.046799999999999994,-0.048029268292682926,-0.0485,0.0033313912645150713,-0.036,-0.054
41,-0.046299999999999994,-0.04798809523809523,-0.04835,0.003302034176869679,-0.036,-0.054
42,-0.04639999999999999,-0.047951162790697666,-0.04819999999999999,0.0032721781447085808,-0.036,-0.054
43,-0.049699999999999994,-0.047990909090909084,-0.04835,0.003245263554349644,-0.036,-0.054
44,-0.0492,-0.04801777777777777,-0.0485,0.0032139479971516434,-0.036,-0.054
45,-0.0458,-0.04796956521739129,-0.04835,0.0031952321522256025,-0.036,-0.054
46,-0.0435,-0.04787446808510637,-0.04819999999999999,0.0032261872685159848,-0.036,-0.054
47,-0.05159999999999999,-0.04795208333333334,-0.04835,0.0032364454256260146,-0.036,-0.054
48,-0.0585,-0.048167346938775515,-0.0485,0.0035334199052153795,-0.036,-0.0585
49,-0.0455,-0.04811400000000001,-0.04835,0.003517783961530327,-0.036,-0.0585
50,-0.05159999999999999,-0.04818235294117648,-0.0485,0.0035164992553230307,-0.036,-0.0585
51,-0.04839999999999999,-0.04818653846153847,-0.04844999999999999,0.0034826508938624197,-0.036,-0.0585
52,-0.0439,-0.04810566037735849,-0.04839999999999999,0.003498593523027996,-0.036,-0.0585
53,-0.0505,-0.048150000000000005,-0.04844999999999999,0.003481046564639029,-0.036,-0.0585
54,-0.0371,-0.04794909090909092,-0.04839999999999999,0.0037519387825628464,-0.036,-0.0585
55,-0.0495,-0.047976785714285715,-0.04844999999999999,0.0037239567605010715,-0.036,-0.0585
56,-0.04959999999999999,-0.04800526315789474,-0.0485,0.003697292563372416,-0.036,-0.0585
57,-0.047200000000000006,-0.04799137931034483,-0.04844999999999999,0.003666779310416169,-0.036,-0.0585
58,-0.052199999999999996,-0.04806271186440678,-0.0485,0.003675936329702777,-0.036,-0.0585
59,-0.04439999999999999,-0.04800166666666667,-0.04844999999999999,0.0036752093666740796,-0.036,-0.0585
60,-0.04409999999999999,-0.047937704918032786,-0.04839999999999999,0.003678478121448571,-0.036,-0.0585
61,-0.0503,-0.0479758064516129,-0.04844999999999999,0.0036608074855706343,-0.036,-0.0585
62,-0.054099999999999995,-0.04807301587301587,-0.0485,0.0037114240773977484,-0.036,-0.0585
63,-0.048799999999999996,-0.048084375,-0.04865,0.003683418026694092,-0.036,-0.0585
64,-0.050699999999999995,-0.048124615384615384,-0.048799999999999996,0.003669124010702985,-0.036,-0.0585
65,-0.0443,-0.04806666666666666,-0.04865,0.0036710717340808904,-0.036,-0.0585
66,-0.0485,-0.048073134328358205,-0.0485,0.003643951524553966,-0.036,-0.0585
67,-0.04959999999999999,-0.04809558823529411,-0.04865,0.0036217250449251475,-0.036,-0.0585
68,-0.05,-0.048123188405797095,-0.048799999999999996,0.0036025813984723785,-0.036,-0.0585
69,-0.0494,-0.048141428571428564,-0.048949999999999994,0.0035799638009799107,-0.036,-0.0585
70,-0.0523,-0.048199999999999986,-0.04909999999999999,0.0035882829665297195,-0.036,-0.0585
71,-0.051199999999999996,-0.04824166666666666,-0.04914999999999999,0.003580531850624057,-0.036,-0.0585
72,-0.0435,-0.04817671232876712,-0.04909999999999999,0.0035983832194414187,-0.036,-0.0585
73,-0.04739999999999999,-0.048166216216216216,-0.048949999999999994,0.0035751120574774743,-0.036,-0.0585
74,-0.047599999999999996,-0.04815866666666666,-0.048799999999999996,0.0035517917856891456,-0.036,-0.0585
75,-0.04839999999999999,-0.048161842105263156,-0.04865,0.0035284545262041153,-0.036,-0.0585
