steps,time,reward,delta,converged
1,0.05890212141093798,-0.0878121878121871,0.042994168896,False
2,0.05882560362624645,-0.08461538461538408,0.06621312941681576,False
3,0.05900261711940402,-0.08821178821178748,0.06621312941681576,False
4,0.05338825688340876,-0.08030634573304163,1.0,False
5,0.014462566583461012,-0.07935222672064786,1.0,False
6,0.058797041689103935,-0.06933066933066967,1.0,False
7,0.0553202427981887,-0.07823779193205949,1.0,False
8,0.035872031234248425,-0.07360655737704981,1.0,False
9,0.059179630614380585,-0.0755244755244755,1.0,False
10,0.0586288436097675,-0.06853146853146891,1.0,False
11,0.059446208701047,-0.07722277722277711,1.0,False
12,0.029155744368836167,-0.06673427991886453,1.0,False
13,0.05853681069675076,-0.07422577422577428,1.0,False
14,0.05864894274964172,-0.0687312687312691,1.0,False
15,0.036666123636678094,-0.07019230769230828,1.0,False
16,0.05307971742695372,-0.06766004415011105,1.0,False
17,0.04713989214178582,-0.056203473945409914,1.0,False
18,0.0587868158108904,-0.06253746253746316,1.0,False
19,0.0586295488410542,-0.06293706293706357,1.0,False
20,0.04048037653774372,-0.07080291970802984,1.0,False
21,0.04059215597590082,-0.06390101892285352,1.0,False
22,0.05870395092642866,-0.04965034965035009,1.0,False
23,0.058881669652691926,-0.0669330669330674,1.0,False
24,0.05857136711529165,-0.052747252747253226,1.0,False
25,0.058838650436882745,-0.062337662337662955,1.0,False
26,0.05884006090309413,-0.06323676323676386,1.0,False
27,0.058751554155605845,-0.04675324675324715,1.0,False
28,0.058866507142738556,-0.0582417582417588,1.0,False
29,0.05882278269382368,-0.053946053946054444,1.0,False
30,0.05954846749409626,-0.054345654345654845,1.0,False
31,0.02834225805781898,-0.05618448637316588,1.0,False
32,0.05868984626613383,-0.05494505494505546,1.0,False
33,0.05900120665319264,-0.050249750249750695,1.0,False
34,0.05895712958954391,-0.05454545454545505,1.0,False
35,0.058992743857743335,-0.0509490509490514,1.0,False
36,0.05909958666234161,-0.05304695304695353,1.0,False
37,0.058610154932466685,-0.055644355644356165,1.0,False
38,0.05893949876372062,-0.06193806193806255,1.0,False
39,0.05867433113962761,-0.04635364635364674,1.0,False
40,0.059139784945728024,-0.04835164835164877,1.0,False
41,0.0591119282416912,-0.04445554445554482,1.0,False
42,0.05902588981007284,-0.053146853146853634,1.0,False
43,0.058919399620208424,-0.04965034965035009,1.0,False
44,0.05871206110714411,-0.053446553446553934,1.0,False
45,0.05881890391174238,-0.0428571428571432,1.0,False
46,0.05893456213198078,-0.0509490509490514,1.0,False
47,0.035217927586927544,-0.05285234899328891,1.0,False
48,0.054564232978009386,-0.05896885069817457,1.0,False
49,0.05896770808431029,-0.05664335664335718,1.0,False
50,0.040764585452052415,-0.05093525179856151,1.0,False
51,0.05877341638188227,-0.048951048951049375,1.0,False
52,0.05905550959687389,-0.03926073926073955,1.0,False
53,0.05165056266923784,-0.05011441647597296,1.0,False
54,0.05835274487253628,-0.05304695304695353,1.0,False
55,0.05882877717522206,-0.05464535464535515,1.0,False
56,0.05865528984759294,-0.05254745254745302,1.0,False
57,0.05856995664908027,-0.0508491508491513,1.0,False
58,0.058603807836334454,-0.04905094905094948,1.0,False
59,0.058567840949763195,-0.05174825174825221,1.0,False
