params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",17.515914994030027,100,-0.07248815685314255,-0.07075,-0.10714285714285712,-0.06089999999999999,0.00778132233651218
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",17.146731139070653,100,-0.0748640515147982,-0.07274294670846393,-0.10983606557377044,-0.05909999999999999,0.008361835496152248
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",9.844197800942311,100,-0.083705397457833,-0.07974697716077025,-0.15294117647058825,-0.05937499999999999,0.01680438018571773
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",31.49140144615103,100,-0.08604016002839902,-0.08555769880603739,-0.11999999999999997,-0.0691,0.010429500625982467
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",33.44136621976031,100,-0.08308444536034494,-0.08272947976878611,-0.10136986301369864,-0.06519607843137254,0.007896616710046121
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",33.20474819301671,100,-0.08576757666670959,-0.08504285992596922,-0.10703125000000002,-0.0718,0.007215895018774961
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",38.1007344296886,100,-0.07510224409468083,-0.0726031914893617,-0.10493827160493827,-0.06420000000000001,0.008781381211720644
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",36.43050950971519,100,-0.07603225835008548,-0.07390884676145339,-0.10430107526881718,-0.06344827586206896,0.00871579365629964
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",35.93533330371338,100,-0.07551829607963384,-0.07388884758364311,-0.09886363636363636,-0.06280788177339902,0.008460581409437225
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",39.14597371878517,100,-0.07547848207526599,-0.07229958448753462,-0.11016949152542371,-0.06029999999999999,0.009820107226071058
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",32.39383174973227,100,-0.07329604249680806,-0.07189999999999999,-0.1085714285714286,-0.0555,0.007783094432683543
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",10.694585784899573,100,-0.11650638113454903,-0.10627450980392157,-0.325,-0.04102564102564103,0.04954582703051357
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",27.697758980966682,100,-0.07972967364294478,-0.07777564102564102,-0.1142857142857143,-0.06079999999999999,0.010227631823350153
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",28.503181306246915,100,-0.08677365148291685,-0.08523285811269518,-0.10596026490066222,-0.06521739130434782,0.009982485616171816
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",23.039650669865296,100,-0.0845424299568986,-0.08254751461988302,-0.1117647058823529,-0.06650124069478908,0.00945966897269789
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",30.31153563789394,100,-0.07819177666957396,-0.07633696803182508,-0.10612244897959185,-0.0612,0.00969830836371392
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",31.12178457810569,100,-0.08276435044541382,-0.08152301587301586,-0.10598290598290597,-0.06173184357541899,0.009765471120849318
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",31.906410286246683,100,-0.07621143796000589,-0.07370068493150685,-0.1111111111111111,-0.061399999999999996,0.009441254392778372
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",32.39360113852854,100,-0.07316675853534864,-0.07084363672476289,-0.12000000000000002,-0.06089999999999999,0.01067634834310819
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",30.81988312878093,100,-0.07521865403585659,-0.07250377643504533,-0.14285714285714288,-0.05910931174089068,0.011555364615861322
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",9.775255276730604,100,-0.1143023110105271,-0.1,-0.27999999999999997,-0.05299145299145298,0.0472570055899929
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",18.802723045816492,100,-0.07614539165440254,-0.07361708860759493,-0.10620689655172413,-0.06029999999999999,0.009223286556672943
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",16.83975624325103,100,-0.0810902162610262,-0.07865568436038234,-0.10879120879120878,-0.06399999999999999,0.010093219182821586
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",18.54787439235315,100,-0.0800702595993541,-0.07792764345001803,-0.1108433734939759,-0.0649,0.01055738345600482
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",19.23351006473331,100,-0.0792427693858167,-0.07660503355704698,-0.11818181818181817,-0.06042944785276072,0.010598754363331608
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",19.91506631658831,100,-0.0740064071127008,-0.07164999999999999,-0.11136363636363637,-0.0565,0.009431051815382265
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",17.224351555849353,100,-0.07598674048513185,-0.07290104895104896,-0.12173913043478264,-0.061799999999999994,0.01185302009726796
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.45360095516753,100,-0.07329982028672288,-0.0719748447204969,-0.08969072164948452,-0.060099999999999994,0.006916959523025815
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",14.581772123689007,100,-0.07483653941571161,-0.07199783690747547,-0.11038961038961037,-0.058550724637681156,0.009518211722837065
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",9.478636728113088,100,-0.11541894899621166,-0.09627586206896555,-0.325,-0.04888888888888889,0.056370924277264416
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",39.23876828228458,100,-0.08222352631603219,-0.08338900804289544,-0.1116279069767442,-0.0647,0.010816636669731056
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",36.171347650974894,100,-0.08459595414657023,-0.08460806451612903,-0.10784313725490194,-0.06839999999999999,0.009239107403923185
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",31.793078983984742,100,-0.08350816336755704,-0.08308228205610996,-0.10999999999999996,-0.0657,0.009578758152352226
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",34.4588087485572,100,-0.083648312211501,-0.08195,-0.11304347826086954,-0.06580152671755725,0.009811651913648254
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",36.81329166816613,100,-0.08049862799624147,-0.07785492457852705,-0.11481481481481477,-0.060194174757281546,0.010945538191122213
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",33.96559450087625,100,-0.08706810119631841,-0.08575242055556044,-0.10714285714285711,-0.07241379310344827,0.009191116656993965
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",39.84561708243746,100,-0.07619181611291452,-0.07329065420560747,-0.10344827586206898,-0.06199999999999999,0.009788457071214719
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",31.28737752746747,100,-0.08338786088772006,-0.0817,-0.10869565217391301,-0.06309999999999999,0.011110139253938096
