episode,length,time,reward,delta
0,24.0,0.0016308514059346635,-2.7,-1.0
1,4.0,0.0004400654179335106,-1.2,-0.09999999999999998
2,1.0,0.000190765536899562,-1.1,-1.0
3,7.0,0.0005543131701415405,-1.3,-1.0
4,17.0,0.0011763287129724631,-2.5,-1.0
5,23.0,0.0014319756883196533,-2.4000000000000004,-1.0
6,8.0,0.0005451451415865449,-1.5,-0.87337
7,15.0,0.0025688113491924014,-2.0,-1.0
8,9.0,0.0007136958374758251,-1.7999999999999998,-0.91
9,8.0,0.0006904231468070066,-1.4,-0.8638750096300001
10,2.0,0.00026693070685723796,-1.2,-0.8592257380710242
11,20.0,0.0015257716841006186,-2.2,-0.09999999999999998
12,9.0,0.0007246269487950485,-1.7,-0.901
13,6.0,0.0005588971835095435,-1.5,-0.010000000000000009
14,8.0,0.0006269521727517713,-1.6,-1.0
15,22.0,0.0014753475206816802,-2.6000000000000005,-0.874027
16,10.0,0.0006738501706422539,-1.7999999999999998,-0.91
17,3.0,0.0003617845486587612,-1.3,-0.08740269999999994
18,23.0,0.001569496133015491,-3.2000000000000006,-1.0
19,7.0,0.0005680652138835285,-1.6,-0.901
20,16.0,0.0013903669405408436,-2.0999999999999996,-0.8615545429158278
21,12.0,0.0008582686095905956,-2.2,-1.0
22,25.0,0.0015374080285255332,-3.0000000000000004,-0.09999999999999998
23,2.0,0.0002524734300095588,-1.2,-0.08638750096299996
24,29.0,0.0017948180884559406,-3.700000000000001,-0.8758
25,27.0,0.001656592412473401,-2.6000000000000005,-0.8585345102961166
26,10.0,0.0007838665260351263,-1.2,-0.7897607203183664
27,49.0,0.003062121862967615,-5.300000000000001,-0.7845146846551375
28,34.0,0.0022923599990463117,-4.100000000000001,-1.0
29,51.0,0.005099187501400593,-3.800000000000001,-0.9870114921367881
30,12.0,0.0008952933458203916,-2.2,-0.09999999999999998
31,23.0,0.0015035568412713474,-2.5,-0.07897607203183665
32,36.0,0.002416833629467874,-3.1000000000000005,-1.0
33,9.0,0.0007144010705815163,-1.7,-0.8671217515952151
34,15.0,0.0012091220469301334,-2.0999999999999996,-0.8947531601037734
35,17.0,0.0012983340275241062,-2.7,-0.010000000000000009
36,44.0,0.0031453393603442237,-4.100000000000001,-0.8767
37,15.0,0.0009647587994550122,-1.7999999999999998,-0.0010000000000000009
38,6.0,0.0005320983291312587,-1.1,-0.9707808261013091
39,7.0,0.0005144675033079693,-1.4,-0.09999999999999998
40,40.0,0.0032564135653956328,-4.500000000000002,-0.901
41,21.0,0.001428449524610187,-2.9000000000000004,-1.0
42,26.0,0.002447863884299295,-3.2000000000000006,-0.8576428091419707
43,13.0,0.001163987133622868,-2.3,-0.08576428091419708
44,17.0,0.0012433258507371647,-2.3,-0.9800540421809915
45,11.0,0.0010021361504186643,-2.0999999999999996,-1.0
46,6.0,0.0004432389669091208,-1.3,-0.9528296648736012
47,14.0,0.000906224457139615,-2.0999999999999996,-0.09528296648736012
48,17.0,0.001993693806070951,-2.3,-0.8564811851661582
49,12.0,0.0008730785048101097,-2.0999999999999996,-0.79471
50,2.0,0.00026305192477593664,-1.1,-0.0856481185166158
51,2.0,0.00028561938233906403,-1.1,-0.009528296648736001
52,3.0,0.00034274325844307896,-1.1,-0.8510711473196902
53,16.0,0.0019792365292232716,-2.6000000000000005,-0.008576428091419674
54,51.0,0.0032803914891701424,-6.099999999999998,-0.7808913412615873
55,5.0,0.0005433820570033276,-1.5,-0.010000000000000009
56,23.0,0.003573415817299974,-2.8000000000000007,-0.000857642809142023
57,56.0,0.005152432595423306,-5.899999999999999,-1.0
58,16.0,0.0012316895063122502,-2.0,-0.8587287122641559
59,37.0,0.002459147612171364,-3.9000000000000012,-0.7743499883358091
60,20.0,0.0013819041432725498,-2.9000000000000004,-0.07947099999999996
61,1.0,0.00023307951960305218,-1.1,-0.08510711473196897
62,1.0,0.00014915678912075236,-1.1,-0.00851071147319693
63,27.0,0.0033202371560037136,-2.7,-0.0009528296648736445
64,10.0,0.0007531888877565507,-1.7,-1.0
65,1.0,0.00021544869377976283,-1.1,-0.8999377948110482
66,29.0,0.0024774836711003445,-3.2000000000000006,-0.0008510711473197485
67,24.0,0.0016788072534836829,-2.9000000000000004,-0.8565109159264741
68,21.0,0.00131561223679455,-2.2,-0.08999377948110476
69,22.0,0.0014358544704009546,-2.6000000000000005,-0.007947099999999985
70,22.0,0.0013720308816118632,-2.5,-0.8732442549755292
71,50.0,0.006158094911370426,-5.699999999999999,-0.91
72,10.0,0.0006971228613110725,-1.4,-8.510711473197485e-05
73,13.0,0.0014228076597646577,-2.0,-1.0
74,1.0,0.0002538838944019517,-1.1,-0.7869044335339898
75,19.0,0.0013085599075566279,-2.4000000000000004,-0.8597723468415519
76,47.0,0.0029164912393753184,-4.500000000000002,-0.91
77,15.0,0.0010046044662885834,-2.4000000000000004,-1.0
78,35.0,0.0022454620029748185,-3.700000000000001,-0.09999999999999998
79,3.0,0.000471448287498788,-1.3,-0.7800813802787505
80,33.0,0.002672480608453043,-4.100000000000001,-1.0
81,14.0,0.0009799213094083825,-1.4,-0.7989219314489268
82,17.0,0.0011555243381735636,-1.7999999999999998,-0.8563591852334584
83,13.0,0.001098047845516703,-1.7999999999999998,-0.7736186866959868
84,18.0,0.0012687142407230567,-2.0,-1.0
85,79.0,0.0047853587984718615,-8.09999999999999,-0.901
86,19.0,0.0014524274465657072,-2.2,-0.07736186866959871
87,27.0,0.001745804393067374,-3.400000000000001,-0.7957
88,3.0,0.0003515586704452289,-1.2,-0.07989219314489271
89,62.0,0.004253260469340603,-4.700000000000002,-0.9777931616147997
90,8.0,0.0005599550349870697,-1.7,-0.8625744302529424
91,13.0,0.000947833206737414,-1.7,-0.857630270869206
92,12.0,0.0007976185679581249,-1.7999999999999998,-0.8494099898084102
93,6.0,0.00047039043965924066,-1.6,-0.8647103474096802
94,14.0,0.0011054527913074708,-1.9,-0.08647103474096796
95,10.0,0.0006826655844633933,-1.9,-0.08576302708692063
96,7.0,0.0005881643555767369,-1.5,-0.87023971
97,12.0,0.001051502464179066,-1.6,-0.08702397100000003
98,51.0,0.003331873500428628,-5.5,-0.8571737474500812
99,20.0,0.0013685047160834074,-2.5,-0.8487083633976706
100,52.0,0.0031146617238846375,-5.999999999999998,-0.7724846960167433
101,18.0,0.0011586978871491738,-2.0,-0.7916247234684155
102,17.0,0.001219347926962655,-2.0,-0.856711436838345
103,38.0,0.0026185302795056487,-2.6000000000000005,-0.08567114368383444
104,5.0,0.0004834372502955375,-1.2,-0.9967696109019797
105,12.0,0.0008491005810356,-2.0999999999999996,-0.08625744302529426
106,13.0,0.0011015740092261694,-2.2,-0.8579950921931232
107,3.0,0.000333575228069094,-1.3,-0.78226285111397
108,3.0,0.0010684280568966642,-1.3,-0.008625744302529381
109,12.0,0.0008642630909889704,-2.0999999999999996,-0.858360495950323
