episode,length,time,reward,delta
0,13.0,0.0009637009500238491,-1.7,-0.99
1,8.0,0.0005592498011992575,-1.7,-1.0
2,21.0,0.001323017184404307,-3.0000000000000004,-1.0
3,5.0,0.0003794153758462926,-1.5,-1.0
4,8.0,0.0005504343882876128,-1.4,-0.9
5,8.0,0.0005514922379461495,-1.5,-0.99
6,14.0,0.0008998773598705156,-1.7,-0.8181
7,11.0,0.0007320318964048056,-2.0,-1.0
8,26.0,0.0016072260998498678,-3.1000000000000005,-0.99
9,9.0,0.0006114370462455554,-1.7,-1.0
10,11.0,0.00072039555129777,-1.3,-0.981
11,24.0,0.0017528567227600433,-2.8000000000000007,-0.97111791
12,12.0,0.0007976185690949933,-1.5,-0.8829
13,13.0,0.0008494531975884456,-1.7999999999999998,-0.874006119
14,13.0,0.0008466322653930547,-2.2,-1.0
15,17.0,0.001079006552345163,-2.6000000000000005,-1.0
16,7.0,0.0004929578954033786,-1.5,-1.0
17,11.0,0.0007260374154611782,-1.6,-0.99
18,28.0,0.0017165372212275543,-2.9000000000000004,-0.99
19,27.0,0.0016717549231088924,-3.2000000000000006,-1.0
20,5.0,0.00037694706020374724,-1.3,-0.9729
21,4.0,0.0003141813194815768,-1.4,-0.8094898361766278
22,25.0,0.001553275772039342,-2.9000000000000004,-0.99
23,9.0,0.0006361202026710089,-1.9,-0.73629
24,47.0,0.0030106398507996346,-5.5,-1.0
25,14.0,0.001160108351996314,-1.6,-1.0
26,10.0,0.0006858391320747614,-1.7,-0.8744804837735399
27,12.0,0.0007926819378099026,-2.0999999999999996,-0.8918102076470061
28,10.0,0.0006703240051137982,-1.7,-0.8779611749118902
29,7.0,0.0004936631285090698,-1.3,-0.7901650574207011
30,19.0,0.0012052432666678214,-2.4000000000000004,-0.896759829
31,7.0,0.0005035363910792512,-1.7,-0.9793881
32,12.0,0.00078739269019934,-2.2,-0.8814492899999999
33,29.0,0.0017814186608120508,-2.6000000000000005,-0.9
34,31.0,0.0020328342400262045,-3.0000000000000004,-0.8026291868823056
35,28.0,0.0017334628141725261,-3.700000000000001,-1.0
36,24.0,0.0017130110559264722,-2.5,-1.0
37,9.0,0.0006170789106363372,-1.9,-0.722366268194075
38,46.0,0.0027863757438808534,-3.600000000000001,-0.897513087350975
39,47.0,0.0028279844932512788,-4.8000000000000025,-0.9653114628561232
40,18.0,0.0011308411808386154,-2.4000000000000004,-0.99
41,46.0,0.002774739398773818,-5.5,-1.0
42,9.0,0.0006012111671225284,-1.5,-0.9547471948960112
43,16.0,0.0011671606823711045,-2.0999999999999996,-0.8617340173198583
44,10.0,0.0006840760495379072,-1.5,-0.7042778062892355
45,28.0,0.0017433360767427075,-3.3000000000000007,-0.9
46,13.0,0.0008505110472469823,-2.0999999999999996,-0.8026902554858444
47,12.0,0.0007828086752397212,-2.2,-0.891
48,7.0,0.0004947209779402328,-1.6,-0.891
49,64.0,0.003858329965851226,-4.900000000000002,-0.7845237154276727
50,3.0,0.00025529436084070767,-1.2,-0.7060713438849053
51,15.0,0.0009559433867707412,-2.5,-0.9
52,17.0,0.0011082737235028617,-2.4000000000000004,-1.0
53,3.0,0.00025423651118217094,-1.3,-0.8216857263454236
54,23.0,0.0014975623619193357,-3.0000000000000004,-1.0
55,33.0,0.0020095615495847596,-3.9000000000000012,-0.9701613
56,12.0,0.0007828086752397212,-2.0999999999999996,-0.9
57,15.0,0.0009545329207867326,-1.7,-0.7966513542595273
58,7.0,0.00048731603123997047,-1.4,-0.6507242256578726
59,31.0,0.00188790885022172,-2.7,-0.9
