episode,length,time,reward,delta
69,10.0,0.0006675030731457809,-1.6,-0.7392475333196038
70,12.0,0.0009044613748301344,-2.0999999999999996,-0.6576818984315429
71,27.0,0.0016664656750435825,-3.400000000000001,-0.7189955557854917
72,40.0,0.0024150705476131407,-4.900000000000002,-0.9094357135774783
73,61.0,0.003630892310411582,-5.999999999999998,-0.00999958684783775
74,23.0,0.0014312704561234568,-3.0000000000000004,-0.8198411760962566
75,28.0,0.0017130110559264722,-3.2000000000000006,-0.6752278297549772
76,28.0,0.0017070165749828448,-3.500000000000001,-0.7386507282470398
77,18.0,0.0011657502163870959,-2.8000000000000007,-0.8361522752456197
78,5.0,0.0003691894967232656,-1.3,-0.6286074696556596
79,9.0,0.0006022690167810651,-1.7999999999999998,-0.09999600923457053
80,8.0,0.0005476134560922219,-1.7999999999999998,-0.5092183236680574
81,59.0,0.0035134710087731946,-6.1999999999999975,-1.0002379020020566
82,30.0,0.0018286692748006317,-3.800000000000001,-0.546344117961927
83,42.0,0.0025289656841778196,-4.600000000000001,-1.000148993832013
84,8.0,0.0005472608395393763,-1.7999999999999998,-0.8357931208366934
85,18.0,0.0013381796948124247,-2.2,-0.8294560668472335
86,17.0,0.001095932145290135,-1.7999999999999998,-0.09996295598327509
87,11.0,0.0007140484540286707,-2.0999999999999996,-0.5140223367825245
88,3.0,0.00025071034588108887,-1.3,-0.569317848518251
89,18.0,0.0011329568801556889,-2.5,-0.6985634647993413
90,22.0,0.0015497496069656336,-2.2,-0.06722746358690979
91,24.0,0.0014933309635125624,-3.400000000000001,-0.543267633461317
92,43.0,0.002591378808119771,-3.9000000000000012,-0.7610554416287912
93,44.0,0.00263898203820645,-5.000000000000002,-0.9099231159895007
94,53.0,0.0032468929198330443,-5.200000000000001,-0.6667916330489772
95,23.0,0.0014164605622681847,-3.3000000000000007,-0.8361808218895205
96,63.0,0.004009249836599338,-6.999999999999995,-1.0003965235169021
97,38.0,0.0023075225094544294,-4.000000000000002,-0.5317426459610795
98,4.0,0.00031347608637588564,-1.4,-0.6912703467659258
99,17.0,0.0010772434698083089,-2.6000000000000005,-0.6430933969077862
100,17.0,0.0010790065525725367,-1.7,-0.5402771766704095
101,7.0,0.0005684178308911214,-1.7,-0.5233231697669689
102,15.0,0.0009658166491135489,-2.2,-0.536633012682853
103,31.0,0.001891787631848274,-3.400000000000001,-0.0894324885709199
104,3.0,0.00025388389485669904,-1.3,-0.6072044509149446
105,56.0,0.0035480274277688295,-5.699999999999999,-0.9995051819957379
106,22.0,0.0013797884439554764,-2.8000000000000007,-0.05550668782204815
107,83.0,0.005195099194679642,-7.499999999999993,-0.629487750062498
108,21.0,0.0013201962524362898,-2.7,-0.007549802731833366
109,8.0,0.0005479660726450675,-1.6,-0.5649966401660954
110,4.0,0.000313476086830633,-1.4,-0.6107771396679694
111,29.0,0.0017807134277063597,-3.400000000000001,-0.8375124193411561
112,12.0,0.0007863348400860559,-1.7,-0.5757311305466986
113,17.0,0.0011149734373248066,-1.7,-0.5534112854748994
114,68.0,0.004054737367823691,-6.099999999999998,-0.06985634647993422
115,26.0,0.0016079313331829326,-3.400000000000001,-0.10009955372756607
116,15.0,0.0009608800182832056,-2.5,-0.5561144562822798
117,11.0,0.0007246269492497959,-2.0,-0.9995188587732357
118,41.0,0.002480304604432604,-4.300000000000002,-0.7819983989184162
119,9.0,0.0006075582646190014,-1.7999999999999998,-0.5645110437085854
120,26.0,0.0017750715633155778,-3.600000000000001,-0.6762411980534123
121,54.0,0.0032518295506633876,-5.000000000000002,-0.07819983989184165
122,3.0,0.0002626993077683437,-1.3,-0.4993275102164385
123,119.0,0.007049862091662362,-11.399999999999979,-0.8359885883952981
124,23.0,0.0014263338248383661,-3.3000000000000007,-0.0845208415699431
125,11.0,0.0007486048725695582,-1.9,-0.5226535743440415
126,77.0,0.004619629033641104,-5.999999999999998,-0.009996295598327487
127,24.0,0.0014852207841613563,-2.4000000000000004,-0.5189667973606612
128,49.0,0.002935179915766639,-4.700000000000002,-0.10001999258231287
129,4.0,0.0003117130040664051,-1.4,-0.005550668782204782
130,15.0,0.0009510067557130242,-2.0999999999999996,-0.909592351525212
131,3.0,0.0002531786617510079,-1.3,-0.0005550668782204893
132,48.0,0.0030402596385101788,-5.300000000000001,-0.5521552915919945
133,49.0,0.0029584526059807104,-4.600000000000001,-0.578872495130602
134,57.0,0.0034358953744231258,-5.300000000000001,-0.5164864342187733
135,21.0,0.0013163174708097358,-2.8000000000000007,-0.5749878203773371
136,9.0,0.0006065004149604647,-1.7,-0.4901141079485273
137,37.0,0.0022493407832371304,-3.800000000000001,-0.05649966401660955
138,15.0,0.0009570012362019042,-2.0,-0.6767964728157789
139,74.0,0.004445083855443954,-6.799999999999995,-0.6549502306335167
140,43.0,0.0026224090620416973,-4.600000000000001,-0.7338116440665137
141,61.0,0.003661922563878761,-5.999999999999998,-0.7752037532467198
142,9.0,0.0006082634977246926,-1.7,-0.05189667973606604
143,22.0,0.0013727361138080596,-2.6000000000000005,-0.05164864342187736
144,7.0,0.00048661079790690565,-1.7,-0.005189667973606649
145,12.0,0.0008141915454871196,-2.0,-0.05749878203773373
146,95.0,0.0056168285527746775,-8.19999999999999,-0.007819983989184154
147,55.0,0.0033008432474161964,-3.3000000000000007,-0.49084992685377105
148,11.0,0.0007249795658026414,-1.7999999999999998,-0.04908499268537703
149,11.0,0.0007207481676232419,-2.0,-0.6631729728143354
150,14.0,0.0008928250294957252,-2.3,-0.06631729728143354
151,14.0,0.0008963511950241809,-1.7999999999999998,-0.0009999586847837527
152,10.0,0.0007436682412844675,-1.7999999999999998,-0.05521552915919936
153,49.0,0.002961626154501573,-5.100000000000001,-0.1000148993832013
154,19.0,0.0011950173875447945,-2.7,-0.5729775708084283
155,29.0,0.0017740137141117884,-2.2,-0.564396701836543
156,17.0,0.0010677228233362257,-2.5,-0.09095923515252113
157,35.0,0.00211957790361339,-3.9000000000000012,-0.7549253113944658
158,12.0,0.0007828086754670949,-1.7,-0.5474047206990409
159,8.0,0.000552197470824467,-1.5,-0.5124380209830888
160,83.0,0.004931342037252762,-7.699999999999992,-0.6021102583340341
161,5.0,0.0003695421132761112,-1.5,-0.6669377183515661
162,56.0,0.0033942866248253267,-6.4999999999999964,-0.6901477919914649
163,13.0,0.0008325276044161001,-2.0,-0.6064394219067577
164,17.0,0.0010712489888646815,-2.7,-0.5172642766176155
165,2.0,0.00018970768815051997,-1.2,-0.056439670183654145
166,55.0,0.003278275789853069,-4.600000000000001,-0.56164396848873
167,5.0,0.0003755365942197386,-1.3,-0.05124380209830892
168,51.0,0.00307411082485487,-4.8000000000000025,-0.571924076987758
169,11.0,0.0007256847989083326,-1.7,-0.5351986764689383
170,81.0,0.005164068940757716,-7.799999999999992,-0.5554627782330654
171,38.0,0.002516976722290565,-4.200000000000001,-0.5193515285789339
172,21.0,0.0013142017714926624,-2.6000000000000005,-0.5874500712115864
173,31.0,0.001891787631848274,-4.100000000000001,-0.9996184844524462
174,13.0,0.0008424008669862815,-2.3,-0.0517264276617615
175,25.0,0.0015349397131103615,-3.0000000000000004,-0.6489367166336457
176,43.0,0.0028057696526957443,-5.000000000000002,-0.6479866234096541
177,65.0,0.003865029679673171,-6.4999999999999964,-0.5266391711623524
178,52.0,0.003100557063589804,-5.899999999999999,-0.5949636167763659
179,9.0,0.0006001533174639917,-1.7999999999999998,-0.005521552915919936
180,39.0,0.002347015559735155,-4.600000000000001,-0.579439507046632
181,6.0,0.0004294869218028907,-1.3,-0.051935152857893296
182,25.0,0.0016805703362479107,-2.4000000000000004,-0.5232392184458543
183,34.0,0.002100889228131564,-3.400000000000001,-0.5776711850657799
184,92.0,0.005465908682253939,-8.599999999999989,-0.005172642766176128
185,22.0,0.0013699151818400424,-2.7,-0.7615607063348934
186,3.0,0.0002517681955396256,-1.2,-0.6011349194329761
187,8.0,0.000548318689197913,-1.7,-0.5671060129038881
188,11.0,0.0007249795658026414,-2.0,-0.4748823493790463
189,17.0,0.0010705437557589903,-2.7,-0.5348078933090112
190,73.0,0.004639728174879565,-5.4,-0.8918040497220796
191,64.0,0.0038237735466282174,-5.999999999999998,-0.5334584594370481
192,22.0,0.0013685047151739127,-2.2,-0.06667916330489765
193,34.0,0.0020508176821749657,-3.600000000000001,-0.7601118488580496
194,25.0,0.0015317661645894987,-3.0000000000000004,-0.5972742819489504
195,46.0,0.0028054170356881514,-3.9000000000000012,-0.6928032020279205
196,17.0,0.0010705437557589903,-2.2,-0.06477117923795672
197,32.0,0.0019439748766671983,-3.600000000000001,-0.5374817167794641
198,33.0,0.002001451369778806,-2.3,-0.5846176674233834
199,165.0,0.009695191227365285,-11.999999999999977,-0.5516083366597722
200,53.0,0.0031679068188168458,-3.9000000000000012,-0.05334584594370473
201,10.0,0.0007426103916259308,-2.0,-0.6727331359076822
202,16.0,0.001021530059460929,-2.5,-0.05972742819489507
203,82.0,0.004842835290673975,-8.999999999999988,-0.46678834082812093
204,71.0,0.004204952005238738,-7.399999999999993,-0.5596578107695083
205,36.0,0.0021675337502529146,-4.300000000000002,-0.5249497181067109
206,38.0,0.0024175388634830597,-4.600000000000001,-0.06021102583340343
207,11.0,0.0007225112499327224,-2.0999999999999996,-0.5812947947205072
208,46.0,0.0027588716557147563,-3.2000000000000006,-0.05776711850657812
209,79.0,0.004669347962590109,-8.19999999999999,-0.5082154349491491
210,15.0,0.000951711988363968,-1.5,-0.54469813409369
211,19.0,0.0011823231925518485,-2.3,-0.6742571193332287
212,81.0,0.004829788479128183,-8.699999999999989,-0.48519730275251916
213,4.0,0.00031241823717209627,-1.3,-0.06742571193332281
214,35.0,0.002114993889335892,-4.000000000000002,-0.5584295639479551
215,15.0,0.0009573538527547498,-2.5,-0.06479866234096554
216,29.0,0.0017673140000624699,-2.9000000000000004,-0.08361808218895206
217,16.0,0.0010141251127606665,-2.2,-0.5370388734240643
218,5.0,0.0003695421132761112,-1.4,-0.5365541875094209
219,19.0,0.0011791496440309857,-2.2,-0.048519730275251916
220,117.0,0.007144010702631931,-9.399999999999986,-0.5369573353822092
221,36.0,0.0021908064413764805,-4.300000000000002,-0.48015193787270627
222,6.0,0.00043301308733134647,-1.3,-0.006742571193332325
223,29.0,0.0017669613835096243,-2.5,-0.0006742571193332214
224,71.0,0.004378791949875449,-7.199999999999994,-0.46792962761188617
225,54.0,0.003233493491734407,-4.100000000000001,-0.5106200476774636
226,29.0,0.0017764820299817075,-3.2000000000000006,-0.46982222925224215
227,5.0,0.0003698947302837041,-1.2,-0.47662118475814796
228,64.0,0.0038072005700087175,-7.299999999999994,-0.48486961543074547
229,37.0,0.002228536408892978,-3.3000000000000007,-0.520924118779476
230,43.0,0.0026834117197722662,-3.600000000000001,-0.08359885883952978
231,29.0,0.0017814186608120508,-3.600000000000001,-0.5177248840272433
232,32.0,0.0019492641249598819,-3.1000000000000005,-6.742571193329994e-05
233,25.0,0.0015458708253390796,-3.2000000000000006,-0.5109174289711746
234,24.0,0.0014778158365515992,-2.0999999999999996,-0.47787204072982903
235,38.0,0.002284249818785611,-3.800000000000001,-0.4721181335503999
236,100.0,0.0058975113033739035,-9.299999999999986,-0.4613323773340037
237,8.0,0.000546202990335587,-1.7,-0.5186638725924306
238,42.0,0.0025730427491907903,-4.000000000000002,-0.5110190295578818
239,3.0,0.0002542365114095446,-1.3,-0.051866387259242974
240,4.0,0.00031241823717209627,-1.4,-0.5151738067058554
241,8.0,0.0005465556068884325,-1.7,-0.05846176674233827
242,40.0,0.002421417645564361,-2.8000000000000007,-0.4645787562602304
243,95.0,0.005632696296288486,-10.099999999999984,-0.09995051819957379
244,4.0,0.00030959730474933167,-1.4,-0.005334584594370528
245,23.0,0.0014249233586269838,-2.8000000000000007,-0.4965352022438968
246,37.0,0.0023762827308928536,-3.9000000000000012,-0.05109174289711749
247,30.0,0.0018473579502824578,-4.000000000000002,-0.9992979770178017
248,31.0,0.0018946085638162913,-3.500000000000001,-0.005186638725924286
249,35.0,0.002130861632849701,-3.800000000000001,-0.06561751548875949
250,11.0,0.0007246269492497959,-1.7999999999999998,-0.05151738067058553
251,5.0,0.00037201042869128287,-1.2,-0.005151738067058598
252,8.0,0.0005465556068884325,-1.5,-0.6253992290583736
253,35.0,0.0021407348954198824,-4.100000000000001,-0.47784172764779753
254,105.0,0.006285389475124248,-8.699999999999989,-0.5074633196803806
255,70.0,0.004179916232715186,-7.499999999999993,-0.07752037532467182
256,35.0,0.00213015639974401,-3.600000000000001,-0.04613323773340039
257,17.0,0.0010673702072381275,-2.7,-0.48009193560098706
258,73.0,0.004437678908743692,-8.19999999999999,-0.07549253113944654
259,14.0,0.0009051666079358256,-1.4,-0.5891096260147222
260,91.0,0.005387275197790586,-8.29999999999999,-0.048009193560098695
261,32.0,0.0019524376734807447,-3.2000000000000006,-0.5423101398842529
262,88.0,0.005367528673104971,-7.199999999999994,-0.0007819983989184598
263,19.0,0.0011971330864071206,-2.6000000000000005,-0.05584295639479553
264,16.0,0.0010144777288587647,-2.3,-0.46429146082279094
265,47.0,0.002830805425219296,-5.699999999999999,-0.8271569928991345
266,24.0,0.00148275246783669,-2.7,-0.08387484010335955
267,5.0,0.0003646054819910205,-1.3,-0.47089343003056094
268,65.0,0.0038618561306975607,-7.399999999999993,-0.5255375499010089
269,65.0,0.0039147486090769235,-6.999999999999995,-0.4667382146022475
270,80.0,0.004897843467460916,-6.999999999999995,-0.04708934300305612
271,106.0,0.0063298191571448115,-11.19999999999998,-0.04778417276477975
272,24.0,0.0014855734002594545,-3.2000000000000006,-0.4485991254832802
273,31.0,0.0018967242631333647,-4.100000000000001,-0.5066605817997186
274,26.0,0.001591005740010587,-2.3,-0.5002841145337379
275,17.0,0.0011668080655908852,-1.7,-0.05365541875094215
276,24.0,0.0014834577013971284,-3.3000000000000007,-0.005846176674233816
277,15.0,0.0009573538527547498,-2.4000000000000004,-0.5076400047972214
278,22.0,0.0013586314530584787,-3.2000000000000006,-0.5095253718683789
279,60.0,0.0035688318030224764,-5.4,-0.04721181335503999
280,12.0,0.0007768141945234674,-1.9,-0.520411313044774
281,94.0,0.0057180294943464105,-10.199999999999983,-0.5081083631502589
282,50.0,0.0030120503165562695,-5.000000000000002,-1.0002669059421978
283,34.0,0.0020571647796714387,-4.300000000000002,-0.49969836166121556
284,26.0,0.0015998211529222317,-3.400000000000001,-0.5671786282962996
285,130.0,0.007847480660529982,-13.299999999999972,-0.6551265528881369
286,3.0,0.00025846790958894417,-1.3,-0.5325211233217813
287,91.0,0.0053717600712843705,-9.499999999999986,-0.3477205249340264
288,67.0,0.00397751434957172,-7.699999999999992,-0.4731324979942415
289,41.0,0.00256986920021518,-4.000000000000002,-0.45198185627914234
290,30.0,0.001841716085891676,-1.700000000000001,0.9999939472335745
291,10.0,0.0006639769080720725,-1.7999999999999998,-0.056717862829629984
292,98.0,0.005790315880858543,-10.299999999999983,-0.05249497181067109
293,137.0,0.008341143789493799,-14.399999999999968,-0.9098999334924428
294,76.0,0.004680984307924518,-8.09999999999999,-0.5023483750689481
295,15.0,0.0009598221686246688,-2.4000000000000004,-0.46515894301361205
296,173.0,0.01023152095513069,-17.09999999999996,-0.49782775805406954
297,39.0,0.002378398430209927,-3.400000000000001,-0.046429146082279105
298,27.0,0.0018466527171767666,-3.1000000000000005,-0.004642914608227966
299,16.0,0.00102223529256662,-2.5,-0.44403410523349596
300,10.0,0.0006664452234872442,-1.7,-0.5123432130788472
301,31.0,0.0018889666998802568,-3.500000000000001,-0.5186621577795956
302,4.0,0.00030783422243985115,-1.3,-0.05186621577795958
303,78.0,0.00461257670303894,-8.49999999999999,-0.9097753111479927
304,96.0,0.006194061797032191,-10.299999999999983,-0.05081083631502592
305,205.0,0.012279165088784794,-20.400000000000006,-0.5010683395306235
306,98.0,0.005816056886942533,-10.499999999999982,-0.0005846176674233483
307,91.0,0.005383043800065934,-7.799999999999992,-0.5020564963266068
308,33.0,0.0020049775348525145,-2.8000000000000007,-0.5089181494414134
309,12.0,0.0008593264597038797,-2.0,-0.0508918149441413
310,39.0,0.002361825453590427,-3.700000000000001,-0.500497299987496
311,4.0,0.00031241823717209627,-1.2,-0.5360707546800872
312,60.0,0.0035614268554127193,-4.8000000000000025,-0.05360707546800869
313,35.0,0.002114993888881145,-4.200000000000001,-0.5548918709933182
314,80.0,0.004872102461831673,-6.1999999999999975,-0.04519818562791422
315,12.0,0.0009570012362019042,-1.9,-0.6389314767808565
316,15.0,0.0010991056938109978,-1.7999999999999998,-0.45661394177132353
317,96.0,0.006287857790994167,-9.199999999999987,-0.42705822506742375
318,89.0,0.005497996785379655,-7.299999999999994,-0.46179155913522907
319,35.0,0.0021333299478101253,-3.600000000000001,-0.4944711805530929
320,50.0,0.003155917856929591,-5.6,-0.05106200476774636
321,98.0,0.005805831007819506,-9.299999999999986,-0.5004172216372189
322,19.0,0.0012006592519355763,-2.6000000000000005,-5.846176674229042e-05
323,26.0,0.001764140451541607,-1.9,-0.49922091129500734
324,45.0,0.002715852439905575,-5.5,-0.6806350281040286
325,6.0,0.00043266047032375354,-1.4,-0.4590026799087418
326,89.0,0.005265975114980392,-8.49999999999999,-0.06389314767808563
327,49.0,0.0029323589833438746,-5.4,-0.5039855735797371
328,20.0,0.0012440310838428559,-2.5,-0.5019731364439909
329,45.0,0.0026982216140822857,-5.100000000000001,-0.5017512578815304
330,87.0,0.005344608598988998,-7.999999999999991,-0.5050256605656154
331,147.0,0.00863416811762363,-13.399999999999972,-0.6437694788935396
332,26.0,0.0015899478903520503,-3.0000000000000004,-0.4623000865147172
333,78.0,0.004806868405921705,-8.599999999999989,-0.494156737465384
334,22.0,0.0013819041432725498,-3.2000000000000006,-0.05020564963266061
335,198.0,0.011837689205094648,-16.399999999999963,-0.4947494061427786
336,62.0,0.0037557185587502318,-5.799999999999999,-0.6122203506784768
337,18.0,0.001137540894887934,-2.8000000000000007,-0.046230008651471755
338,62.0,0.003707410095103114,-5.4,-0.5011822153117385
339,47.0,0.0028360946730572323,-3.600000000000001,-0.585350711833583
340,79.0,0.004854119019455538,-4.400000000000002,-0.04566139417713233
341,105.0,0.006230733914890152,-7.8999999999999915,-0.6405062838988735
342,50.0,0.002996182573497208,-5.200000000000001,-0.004519818562791378
343,27.0,0.001873098956366448,-3.500000000000001,-0.10027386824348095
344,16.0,0.0010342242539991275,-2.2,-0.4848911443384255
345,82.0,0.004921821391235426,-6.899999999999995,-0.050175125788153085
346,246.0,0.014495359919237671,-21.900000000000027,-0.4963697552583004
347,44.0,0.0026654282773961313,-4.000000000000002,-0.49828119242682134
348,63.0,0.0037610078061334207,-5.699999999999999,-0.4966951457505977
349,47.0,0.002830452809121198,-3.700000000000001,-0.5001889316003745
350,12.0,0.0007824560589142493,-1.7999999999999998,-0.518302734822988
351,17.0,0.0010694859061004536,-1.9,-0.501619970163782
352,49.0,0.0031823640961192723,-5.200000000000001,-0.4424761595265291
353,40.0,0.002419654562800133,-4.600000000000001,-0.49311963106838486
354,45.0,0.0027147945902470383,-5.100000000000001,-0.09096200806380117
355,60.0,0.003582231230211619,-5.699999999999999,-0.06551265528881367
356,53.0,0.0031756643820699537,-5.999999999999998,-0.3638169369591421
357,52.0,0.0033590249727240007,-5.799999999999999,-0.5043454978299038
358,109.0,0.006438777661969652,-9.999999999999984,-0.5054351382176621
359,160.0,0.009577769926181645,-12.199999999999976,-0.4704950313126639
360,44.0,0.0026573180971354304,-5.100000000000001,-0.0064392591234681
361,68.0,0.004050858586197137,-6.399999999999997,-0.4551172354631343
362,59.0,0.0035275756695227756,-6.699999999999996,-0.49886138742624964
363,137.0,0.00818951868586737,-11.999999999999977,-0.0004519818562791489
364,15.0,0.0009598221686246688,-2.3,-0.5268870227792528
365,9.0,0.0006057951823095209,-1.7999999999999998,-0.052688702277925326
366,33.0,0.0020053301509506127,-3.500000000000001,-0.005268870227792544
367,57.0,0.003544501262695121,-6.599999999999996,-0.49739040644465893
368,56.0,0.003351972642576584,-6.399999999999997,-0.4999313076602802
369,124.0,0.007302335520307679,-10.99999999999998,-0.48657631364318243
370,19.0,0.0011872598238369392,-2.3,-0.03638169369591415
371,67.0,0.004215883117467456,-6.399999999999997,-0.5056135871653921
372,20.0,0.0013152596206964517,-3.0000000000000004,-0.49926842878079913
373,149.0,0.009096800992210774,-13.69999999999997,-0.047049503131266324
374,3.0,0.0002542365114095446,-1.2,-0.049828119242682045
375,22.0,0.0013685047151739127,-3.2000000000000006,-0.5006686371232163
376,23.0,0.0014242181255212927,-3.3000000000000007,-0.4565182516779229
377,8.0,0.0005458503737827414,-1.7,-0.004982811924268193
378,292.0,0.01733321767505913,-28.100000000000115,-0.49949735458910305
379,109.0,0.006482854726527876,-8.599999999999989,-0.0493119631068385
380,20.0,0.0012489677151279466,-1.6,-0.5579486467768845
381,128.0,0.007566797910385503,-12.699999999999974,-0.91032740660523
382,60.0,0.0035741210508604127,-6.299999999999997,-0.6675307067214544
383,120.0,0.007069608616802725,-8.699999999999989,-0.5071880256370307
384,65.0,0.00399408732619122,-5.200000000000001,-0.009871453650713402
385,86.0,0.005100597967157228,-9.499999999999986,-0.05006686371232161
386,11.0,0.0007203955510703963,-2.0,-0.48320510095419456
387,28.0,0.0017119532067226828,-3.600000000000001,-7.819983989187929e-05
388,88.0,0.005199683209411887,-8.799999999999988,-0.495184459796951
389,33.0,0.0022080846506469243,-3.800000000000001,-0.5312648548028767
390,11.0,0.000721453400728933,-1.9,-0.5215614284897354
391,24.0,0.0014809893855272094,-2.5,-0.009096200806380073
392,61.0,0.003640412956428918,-5.100000000000001,-0.4992294391502247
393,79.0,0.004680279074818827,-6.899999999999988,1.0000410374285065
394,60.0,0.003633008009273908,-5.699999999999999,-0.4355192090682265
395,52.0,0.003109725093054294,-5.5,-0.49692764998731676
396,69.0,0.004097403966625279,-5.5,-0.5310180668646152
397,98.0,0.00577480075389758,-9.299999999999986,-0.5172216595894895
398,129.0,0.007687745377097599,-13.69999999999997,-0.4539620720949923
399,11.0,0.0007207481676232419,-2.0999999999999996,-0.05071880256370309
400,27.0,0.0016516557811883104,-3.3000000000000007,-0.4587121039229972
401,202.0,0.011878592721586756,-18.199999999999974,-0.04587121039229969
402,67.0,0.0039750460341565486,-6.299999999999997,-0.008263885841091945
403,16.0,0.001009541097573674,-2.6000000000000005,-0.04947494061427793
404,68.0,0.004035343459236174,-6.1999999999999975,-0.21468835592445867
405,186.0,0.011016797946012957,-15.499999999999964,-0.49816584892353455
406,86.0,0.005092135170798429,-7.399999999999993,-0.5370983062467214
407,3.0,0.00025106296243393444,-1.3,-0.5269358836376317
408,28.0,0.0017398099112142518,-2.7,-0.04981658489235352
409,14.0,0.0008935302626014163,-1.7999999999999998,-0.03477205249340265
410,53.0,0.0031781326979398727,-5.999999999999998,-0.0051062004767746805
411,14.0,0.0008949407288127986,-2.4000000000000004,-0.009917948676164356
412,20.0,0.0012390944525577652,-2.9000000000000004,-0.5044823144386257
413,91.0,0.005360123725949961,-9.599999999999985,-0.05056135871653922
414,36.0,0.00236499900211129,-4.600000000000001,-0.005272503120324901
415,107.0,0.006275868829561659,-5.199999999999994,0.10000410374285051
416,195.0,0.011728025467618863,-19.099999999999987,-0.4981548960999115
417,146.0,0.008624647471606295,-13.599999999999971,-0.7484086747327541
418,77.0,0.0045702627203354496,-8.39999999999999,-0.4683125397947815
