steps,time,reward,delta,converged
1,0.05931362488990999,-0.08041958041958013,0.09038040000000001,False
2,0.05879281029046979,-0.08341658341658295,0.1142125,False
3,0.04730950068915263,-0.0815365551425037,1.05,False
4,0.0586496479845664,-0.07952047952047928,1.05,False
5,0.05813447524633375,-0.07784491440080546,1.05,False
6,0.05854597872894374,-0.0789210789210787,1.05,False
7,0.028081321834179107,-0.06680584551148266,1.05,False
8,0.05754243210685672,-0.07484662576687123,1.05,False
9,0.012128597834816901,-0.07475728155339788,1.05,False
10,0.04177835795053397,-0.07475317348378067,1.05,False
11,0.04227448939491296,-0.0728789986091801,1.05,False
12,0.05915106867541908,-0.06683316683316731,1.05,False
13,0.03061416629861924,-0.06859344894027024,1.05,False
14,0.01914919275441207,-0.06923076923076943,1.05,False
15,0.0513744639356446,-0.0632606199770385,1.05,False
16,0.05884429230354726,-0.05754245754245809,1.05,False
17,0.040190173142036656,-0.06270190895741608,1.05,False
18,0.02861553585898946,-0.05979381443299001,1.05,False
19,0.023626717331353575,-0.05835411471321715,1.05,False
20,0.05861861772791599,-0.06723276723276768,1.05,False
21,0.047383197539602406,-0.06029776674938019,1.05,False
22,0.028707921388559043,-0.062083333333333685,1.05,False
23,0.030212536079488927,-0.05573122529644298,1.05,False
24,0.0344255982672621,-0.055440414507772366,1.05,False
25,0.03772785198088968,-0.05790297339593156,1.05,False
26,0.005839682191435713,-0.06249999999999991,1.05,False
27,0.0588076201856893,-0.03266733266733286,1.05,False
28,0.05863906948798103,-0.04625374625374664,1.05,False
29,0.058902474025671836,-0.053946053946054444,1.05,False
30,0.05841586323003867,-0.05384615384615434,1.05,False
31,0.05887955395519384,-0.05254745254745302,1.05,False
32,0.051863543048966676,-0.05028376844494935,1.05,False
33,0.02992797454862739,-0.04881422924901205,1.05,False
34,0.05725434441410471,-0.05508298755186774,1.05,False
35,0.03527187791769393,-0.058263772954925276,1.05,False
36,0.05864647443740978,-0.04765234765234806,1.05,False
37,0.03778532846990856,-0.05841121495327146,1.05,False
38,0.03545700158792897,-0.04675540765391039,1.05,False
39,0.05864012733582058,-0.048651348651349076,1.05,False
40,0.05916975735090091,-0.05154845154845201,1.05,False
41,0.059242043738777284,-0.03776223776223803,1.05,False
42,0.05891869439074071,-0.042757242757243095,1.05,False
43,0.0591048759088153,-0.03506493506493529,1.05,False
44,0.05953154190137866,-0.02957042957042972,1.05,False
45,0.05940072117300588,-0.045254745254745626,1.05,False
46,0.058899300482153194,-0.05574425574425627,1.05,False
47,0.018412929461192107,-0.05399361022364212,1.05,False
48,0.05920713469822658,-0.036563436563436816,1.05,False
49,0.05892504148505395,-0.03216783216783235,1.05,False
50,0.04471283263046644,-0.05789473684210575,1.05,False
51,0.035189013033232186,-0.05183946488294345,1.05,False
52,0.024165867991541745,-0.0461538461538462,1.05,False
53,0.029779875610984163,-0.057142857142857446,1.05,False
54,0.018841005916328868,-0.05341614906832295,1.05,False
55,0.029110256837157067,-0.04607645875251523,1.05,False
56,0.05866798404167639,-0.050249750249750695,1.05,False
57,0.012822547145333374,-0.06912442396313345,1.05,False
58,0.03570171745377593,-0.058075040783034666,1.05,False
59,0.058395411469973624,-0.033966033966034176,1.05,False
60,0.045729778674285626,-0.05153452685422035,1.05,False
61,0.008061518889007857,-0.06249999999999987,1.05,False
62,0.05882384054348222,-0.03796203796203823,1.05,False
63,0.059013548230723245,-0.051848151848152314,1.05,False
64,0.05881079373284592,-0.04235764235764269,1.05,False
65,0.05910910731108743,-0.041958041958042286,1.05,False
66,0.058876027789665386,-0.04545454545454583,1.05,False
67,0.05901178514977801,-0.03186813186813205,1.05,False
68,0.058666926190198865,-0.046053946053946436,1.05,False
69,0.05867609422057285,-0.04625374625374664,1.05,False
70,0.05914260588178877,-0.04845154845154887,1.05,False
71,0.058849934164754814,-0.0432567432567436,1.05,False
72,0.05866304740993655,-0.04535464535464573,1.05,False
73,0.05862884360612952,-0.04845154845154887,1.05,False
74,0.05876847975014243,-0.04635364635364674,1.05,False
75,0.026910282369499328,-0.052192982456140534,1.05,False
76,0.058469460942433216,-0.04785214785214826,1.05,False
77,0.0486730687734962,-0.047469879518072654,1.05,False
78,0.05848920746575459,-0.03246753246753266,1.05,False
79,0.05857806682615774,-0.044055944055944415,1.05,False
80,0.05881114634757978,-0.042257742257742585,1.05,False
81,0.058401758567924844,-0.04215784215784249,1.05,False
82,0.0582628276606556,-0.04695304695304735,1.05,False
83,0.05846346646285383,-0.0428571428571432,1.05,False
84,0.058785757959412877,-0.04415584415584451,1.05,False
85,0.058405637351825135,-0.04685314685314725,1.05,False
86,0.05854597872530576,-0.03706293706293732,1.05,False
