episode,length,time,reward,delta
0,15.0,0.0010871167323784903,-2.3,-1.0
1,7.0,0.0005038890076320968,-1.3,-1.0
2,4.0,0.0003155917856929591,-1.4,-1.0
3,2.0,0.00019605478519224562,-1.2,-1.0
4,27.0,0.0018392477704765042,-3.400000000000001,-1.0
5,11.0,0.0007486048725695582,-1.7,-0.8
6,6.0,0.0004393601843730721,-1.6,-1.0
7,3.0,0.000257762676483253,-1.2,-0.3999999999999999
8,7.0,0.0004982471436960623,-1.6,-0.95
9,34.0,0.0020811427034459484,-4.000000000000002,-1.0
10,6.0,0.00043724448505599867,-1.6,-1.0
11,23.0,0.0014446698837673466,-3.0000000000000004,-1.0
12,14.0,0.0009982573692468577,-1.7,-0.6974875410156249
13,41.0,0.002638276805100759,-3.600000000000001,-0.7574896861443914
14,6.0,0.0004421811167958367,-1.6,-0.7236265625
15,12.0,0.0007866874570936488,-2.0999999999999996,-1.0
16,3.0,0.0002531786617510079,-1.2,-0.5
17,10.0,0.0006720870878780261,-1.6,-0.6991665624967773
18,45.0,0.0027387725135668006,-4.900000000000002,-1.0
19,8.0,0.0005564288694586139,-1.5,-0.575
20,8.0,0.0005571341021095577,-1.7,-1.0
21,23.0,0.0014453751168730378,-2.6000000000000005,-1.0
22,9.0,0.0007768141940687201,-1.4,-0.5
23,21.0,0.001324780267168535,-2.9000000000000004,-1.0
24,3.0,0.000257762676483253,-1.2,-0.34958328124838867
25,7.0,0.0004943683616147609,-1.7,-1.0
26,5.0,0.00037271566225172137,-1.3,-0.9028125
27,7.0,0.0004859055648012145,-1.6,-0.475
28,7.0,0.0004954262108185503,-1.4,-0.8607524503007513
29,14.0,0.0009058718410415167,-2.4000000000000004,-0.5
30,5.0,0.00037835752618775587,-1.3,-0.7650438062549896
31,5.0,0.0003818836917162116,-1.4,-0.6387997482832644
32,8.0,0.0005497291554092953,-1.7,-0.9019739427032407
33,11.0,0.0007299161975424795,-1.4,-0.3193998741416322
34,32.0,0.001958079537416779,-3.800000000000001,-1.0
35,5.0,0.0003695421132761112,-1.4,-0.7938505117497304
36,7.0,0.0004862581818088074,-1.5,-0.1596999370708161
37,31.0,0.001932338531332789,-3.700000000000001,-0.5
38,21.0,0.0013180805531192163,-2.8000000000000007,-0.7375
39,4.0,0.00031453393603442237,-1.4,-0.5337301205638654
40,49.0,0.0029584526059807104,-4.8000000000000025,-1.0
41,6.0,0.00042913430525004514,-1.6,-0.5
42,9.0,0.0006061477988623665,-1.4,-0.74175
43,12.0,0.0007785772772876953,-1.9,-0.9025
44,9.0,0.000604032099545293,-1.2,-0.6624971789814379
45,3.0,0.00025141557898678,-1.3,-0.907375
46,6.0,0.000428429072144354,-1.6,-1.0
47,39.0,0.0023632359198018094,-3.3000000000000007,-0.8370921214189525
48,10.0,0.0006586876602341363,-1.5,-0.3312485894907189
49,13.0,0.0008388747019125731,-1.5,-0.6450834474427711
50,23.0,0.0014175184119267215,-3.0000000000000004,-0.9177388158463673
51,20.0,0.0012440310838428559,-2.8000000000000007,-0.95
52,4.0,0.0003441537241997139,-1.4,-0.5
53,7.0,0.0004929578954033786,-1.6,-0.45886940792318365
54,18.0,0.0011343673459123238,-2.3,-0.90375
55,12.0,0.0007824560589142493,-1.9,-0.22943470396159182
56,11.0,0.0007235691000460065,-1.7999999999999998,-0.8124856815530378
57,5.0,0.0003681316470647289,-1.3,-0.6315625
58,10.0,0.000659745509892673,-1.9,-0.4185460607094763
59,4.0,0.00031453393603442237,-1.3,-0.6498691705026372
60,12.0,0.0007806929761500214,-1.5,-0.3249345852513186
61,7.0,0.0004859055648012145,-1.4,-0.8977867552775387
62,5.0,0.00036672118130809395,-1.4,-0.31578125
63,5.0,0.0003670737978609395,-1.4,-0.1624672926256593
64,102.0,0.006225797283605061,-10.599999999999982,-1.0
65,7.0,0.0005017733083150233,-1.4,-0.08123364631282959
66,27.0,0.0016608238106528006,-3.2000000000000006,-0.7262850410096524
67,24.0,0.001489804798438854,-3.1000000000000005,-0.44889337763876935
68,8.0,0.0005472608395393763,-1.6,-0.7215645292666051
69,14.0,0.0008998773600978893,-2.0,-0.671465625
70,42.0,0.0025473017431068,-4.100000000000001,-0.5568343646824273
71,10.0,0.000663624291519227,-2.0,-1.0
72,14.0,0.0008974090442279703,-2.0999999999999996,-0.5250703125
73,26.0,0.00165588717936771,-3.3000000000000007,-0.7294018376632649
74,13.0,0.0008416956343353377,-1.7999999999999998,-0.36470091883163247
75,4.0,0.00030924468865123345,-1.2,-0.8918121552659555
76,38.0,0.002298001862982346,-4.100000000000001,-0.5
77,7.0,0.0004855529482483689,-1.6,-0.3687499999999999
78,10.0,0.0006643295246249181,-2.0,-0.9475
79,6.0,0.0004266659893801261,-1.3,-0.26253515625
80,13.0,0.0008367590025954996,-1.9,-0.44590607763297774
81,7.0,0.00048484771514267777,-1.2,-0.6057920833622934
82,20.0,0.001238389219452074,-2.3,-0.89313923828125
83,2.0,0.00019041292125621112,-1.2,-0.8876278489250998
84,12.0,0.0007761089614177763,-2.0,-0.8621517999237946
85,9.0,0.000601563783675374,-1.7999999999999998,-0.8647680109067615
86,9.0,0.0006008585510244302,-1.9,-0.4310758999618973
87,18.0,0.0011706868476721866,-2.2,-0.22295303881648887
88,23.0,0.0014175184119267215,-2.7,-0.925
89,23.0,0.001421749810106121,-3.0000000000000004,-0.8234769242951496
90,19.0,0.001187612440844532,-2.7,-0.5523302494896134
91,19.0,0.001229926423093275,-2.9000000000000004,-0.7432691333794459
92,22.0,0.0013635680843435694,-2.8000000000000007,-1.0
93,3.0,0.0002492998801244539,-1.2,-0.5043685805810727
94,13.0,0.0008381694692616293,-2.2,-1.0
95,6.0,0.00043019215490858187,-1.5,-0.5825707766704225
96,14.0,0.0008949407288127986,-1.7999999999999998,-0.29128538833521134
97,18.0,0.0011244940833421424,-2.3,-0.25218429029053646
98,9.0,0.0006551614947056805,-1.7999999999999998,-1.0
99,25.0,0.0015381132620859717,-3.500000000000001,-0.6975
100,13.0,0.0008364063864974014,-2.0999999999999996,-0.6704662952236223
101,11.0,0.000721453400728933,-2.0999999999999996,-0.8560049850879792
102,11.0,0.0007200429345175507,-1.9,-0.684375
103,10.0,0.0006660926069343986,-2.0,-0.5
104,23.0,0.0014280969071478467,-2.6000000000000005,-0.3352331476118111
105,8.0,0.0005405611254900577,-1.7999999999999998,-0.774782156822269
106,24.0,0.001472526588713663,-3.0000000000000004,-0.16761657380590556
107,9.0,0.0006029742498867563,-1.7999999999999998,-1.0
