steps,time,reward,delta,converged
112,0.06920663398523175,-0.03966033966033995,1.0,False
113,0.016151599715158227,-0.05104166666666655,1.0,False
114,0.0449275760929595,-0.04489465153970849,1.0,False
115,0.07438586543685233,-0.04965034965035009,1.0,False
116,0.07478643780450511,-0.0430569430569434,1.0,False
117,0.07258822641597362,-0.038161838161838435,1.0,False
118,0.07241685478766158,-0.04245754245754279,1.0,False
119,0.059583023912637145,-0.0438554216867473,1.0,False
120,0.07217601770571491,-0.04695304695304735,1.0,False
121,0.07455230043524352,-0.04665334665334705,1.0,False
122,0.07395249973342288,-0.038961038961039245,1.0,False
123,0.06318077026844549,-0.042117376294591787,1.0,False
124,0.0704083510881901,-0.03966033966033995,1.0,False
125,0.07281707453876152,-0.04625374625374664,1.0,False
126,0.07357696314102213,-0.04475524475524512,1.0,False
127,0.0718452634082496,-0.054045954045954546,1.0,False
128,0.0735434645703208,-0.0434565434565438,1.0,False
129,0.07169187522231368,-0.03916083916083945,1.0,False
130,0.07418134785621078,-0.04465534465534502,1.0,False
131,0.0762526172966318,-0.04615384615384654,1.0,False
132,0.0743333255759353,-0.03866133866133894,1.0,False
133,0.07808869151813269,-0.04415584415584451,1.0,False
134,0.07120914320512384,-0.04475524475524512,1.0,False
135,0.0731390134224057,-0.03886113886113914,1.0,False
136,0.07016081428992038,-0.04835164835164877,1.0,False
137,0.02464965785657114,-0.04786585365853649,1.0,False
138,0.07137557820351503,-0.03486513486513509,1.0,False
139,0.07318555880192434,-0.04235764235764269,1.0,False
140,0.07257835315431294,-0.044355644355644715,1.0,False
141,0.07138227791620011,-0.04425574425574461,1.0,False
142,0.07288089812755061,-0.04635364635364674,1.0,False
143,0.07607912996718369,-0.041858141858142184,1.0,False
144,0.0734472002604889,-0.050649350649351096,1.0,False
145,0.028302765007538255,-0.049875311720698326,1.0,False
146,0.07475717063243792,-0.045954045954046334,1.0,False
147,0.07262525115220342,-0.03996003996004026,1.0,False
148,0.07242567019966373,-0.046453546453546844,1.0,False
149,0.07335904612955346,-0.05514485514485566,1.0,False
150,0.072178133403213,-0.045154845154845524,1.0,False
151,0.07241121292463504,-0.04255744255744289,1.0,False
152,0.07249584088822303,-0.04755244755244796,1.0,False
153,0.07324656146010966,-0.04235764235764269,1.0,False
154,0.07324197744492267,-0.041858141858142184,1.0,False
155,0.07356003754648555,-0.0434565434565438,1.0,False
156,0.07353993840479234,-0.04425574425574461,1.0,False
157,0.07535661871770571,-0.041958041958042286,1.0,False
158,0.07669479841388238,-0.04395604395604431,1.0,False
159,0.07523672910065216,-0.039460539460539755,1.0,False
160,0.07356250586235547,-0.04395604395604431,1.0,False
161,0.07345425258972682,-0.04425574425574461,1.0,False
162,0.0701516462595464,-0.0358641358641361,1.0,False
163,0.07227157678244112,-0.04845154845154887,1.0,False
164,0.07177650318772066,-0.04535464535464573,1.0,False
165,0.07256460111057095,-0.04035964035964067,1.0,False
166,0.07063473089328909,-0.040659340659340966,1.0,False
167,0.07394791571823589,-0.038961038961039245,1.0,False
168,0.07087662582671328,-0.041058941058941374,1.0,False
169,0.07451174953530426,-0.0428571428571432,1.0,False
170,0.0719238968922582,-0.04695304695304735,1.0,False
171,0.07236255184216134,-0.04625374625374664,1.0,False
172,0.07164427199131751,-0.045254745254745626,1.0,False
173,0.0692933776499558,-0.03916083916083945,1.0,False
174,0.07389079184213188,-0.045954045954046334,1.0,False
175,0.07094644389690075,-0.04995004995005039,1.0,False
176,0.06934027564784628,-0.03996003996004026,1.0,False
177,0.07192707044123381,-0.0434565434565438,1.0,False
178,0.06917595634877216,-0.03956043956043985,1.0,False
179,0.07137522558696219,-0.045954045954046334,1.0,False
180,0.0747501183032,-0.04505494505494542,1.0,False
181,0.0745713417254592,-0.04455544455544492,1.0,False
182,0.07331673214684997,-0.0429570429570433,1.0,False
183,0.07533475649324828,-0.044055944055944415,1.0,False
184,0.0719771419880999,-0.04535464535464573,1.0,False
185,0.06728557918359002,-0.044469026548672914,1.0,False
186,0.073435563914245,-0.04445554445554482,1.0,False
187,0.07160477894285577,-0.04465534465534502,1.0,False
188,0.07396166776379687,-0.04245754245754279,1.0,False
189,0.07476245988254959,-0.04375624375624411,1.0,False
190,0.07243272253072064,-0.04635364635364674,1.0,False
191,0.07310657270136289,-0.04915084915084958,1.0,False
192,0.07588730658062559,-0.042757242757243095,1.0,False
193,0.0728692617831257,-0.04395604395604431,1.0,False
194,0.07208786357296049,-0.042757242757243095,1.0,False
195,0.07233011112293752,-0.04495504495504533,1.0,False
196,0.07432874156074831,-0.040559440559440864,1.0,False
197,0.07266650728524837,-0.044055944055944415,1.0,False
198,0.07630550977410167,-0.041858141858142184,1.0,False
199,0.0730226499690616,-0.03466533466533489,1.0,False
200,0.07258857903252647,-0.04395604395604431,1.0,False
201,0.083515459766204,-0.041158841158841476,1.0,False
202,0.07525153899405268,-0.043156843156843504,1.0,False
203,0.07320883149259316,-0.04745254745254786,1.0,False
204,0.07295565282947791,-0.04415584415584451,1.0,False
205,0.07767401449018507,-0.043156843156843504,1.0,False
206,0.07331814261306135,-0.044055944055944415,1.0,False
207,0.07384883047780022,-0.044055944055944415,1.0,False
208,0.07477973809182004,-0.048551448551448974,1.0,False
