episode,length,time,reward,delta
0,9.0,0.0007242743331516976,-1.5,-1.0
1,5.0,0.0003808258420576749,-1.4,-1.0
2,2.0,0.00019464431943561067,-1.2,-1.0
3,12.0,0.0007891557725088205,-1.6,-1.0
4,32.0,0.0019594900036281615,-3.800000000000001,-0.90625
5,31.0,0.0019118867735414824,-4.100000000000001,-1.0
6,21.0,0.0013519317394639074,-3.0000000000000004,-1.0
7,7.0,0.0004873160310125968,-1.5,-0.892625
8,14.0,0.0008952933449108968,-1.7,-0.453125
9,7.0,0.0005462029898808396,-1.4,-0.89503125
10,4.0,0.00031664963489674847,-1.3,-0.84048984375
11,26.0,0.0016061682504187047,-2.6000000000000005,-0.920625
12,5.0,0.0003709525794874935,-1.5,-1.0
13,20.0,0.0012419153849805298,-2.9000000000000004,-1.0
14,9.0,0.0006124948954493448,-1.5,-1.0
15,6.0,0.00043089738755952567,-1.6,-1.0
16,17.0,0.001075480387044081,-2.3,-0.4463125
17,3.0,0.0002567048268247163,-1.2,-0.7157246020407715
18,19.0,0.001201717101594113,-2.2,-0.5
19,6.0,0.00043407093653513584,-1.5,-0.95
20,13.0,0.0008409904012296465,-2.3,-1.0
21,36.0,0.0022154895973471866,-4.200000000000001,-1.0
22,6.0,0.00045381746167549863,-1.3,-0.7404970117187499
23,16.0,0.0010232931422251568,-2.0999999999999996,-0.475
24,3.0,0.0002528260451981623,-1.2,-0.7764609637819315
25,32.0,0.0019594900036281615,-3.600000000000001,-0.95
26,11.0,0.000727800498225406,-1.9,-0.5
27,14.0,0.0009030509086187521,-2.3,-0.54578125
28,6.0,0.00043125000411237124,-1.4,-0.5797584312576296
29,3.0,0.0002531786617510079,-1.3,-0.7620257570167182
30,13.0,0.0008378168522540363,-2.0999999999999996,-0.5995346151688035
31,8.0,0.0005440872905637661,-1.7999999999999998,-0.7954144147159629
32,11.0,0.0007154589197853056,-1.7,-0.475
33,3.0,0.00025212081209247117,-1.3,-0.5383240825385561
34,9.0,0.0006089687303756364,-1.7,-0.95
35,7.0,0.0005225776831139228,-1.7,-0.67375
36,19.0,0.0013797884439554764,-2.9000000000000004,-0.5
37,18.0,0.001146003691246733,-1.7,-0.6152754786789907
38,37.0,0.0022570983469449857,-3.400000000000001,-1.0
39,7.0,0.0004933105119562242,-1.7,-0.33687500000000004
40,8.0,0.0005518448542716214,-1.5,-0.30763773933949534
41,4.0,0.0003117130040664051,-1.4,-0.9325
42,22.0,0.0013737939634665963,-2.8000000000000007,-0.95
43,42.0,0.002548359592765337,-4.400000000000002,-0.6451698129591202
44,12.0,0.000784924374329421,-1.7999999999999998,-0.7703508165242415
