steps,time,reward,delta,converged
1,0.0007380263768936857,-0.16,0,False
2,0.0018371320707046834,-0.12000000000000004,0,False
3,0.0017454517756050336,-0.12758620689655176,0.020000000000000004,False
4,0.0007362632945842051,-0.17499999999999996,0.020000000000000004,False
5,0.000500362842103641,-0.1875,0.020000000000000004,False
6,0.0006900705307089083,-0.17272727272727273,0.0348,False
7,0.002551180524733354,-0.10232558139534889,0.094776,False
8,0.0002062806643152726,-0.39999999999999997,0.094776,False
9,0.0009760425282365759,-0.15625,0.3454,False
10,0.0003839993905785377,-0.2333333333333333,0.3454,False
11,0.0006170789106363372,-0.16999999999999998,0.4036749999999999,False
12,0.0004383023347145354,-0.19999999999999998,0.4036749999999999,False
13,0.00026023099235317204,-0.325,0.4036749999999999,False
14,0.0011996014022770396,-0.11499999999999999,0.4036749999999999,False
15,0.0010359873367633554,-0.10588235294117646,0.4036749999999999,False
16,0.0011512929390846693,-0.13157894736842105,0.4036749999999999,False
17,0.0009139820208474703,-0.14666666666666667,0.4036749999999999,False
18,0.0022532195653184317,-0.11470588235294121,0.4614250000000001,False
19,0.0016283830909742392,-0.12222222222222225,0.4614250000000001,False
20,0.0009721637466100219,-0.125,0.4614250000000001,False
21,0.00290697059381273,-0.11836734693877549,0.4614250000000001,False
22,0.0011502350894261326,-0.12631578947368424,0.4614250000000001,False
23,0.0026354558731327415,-0.09756097560975614,0.4614250000000001,False
24,0.002045528434791777,-0.09411764705882354,0.4614250000000001,False
25,0.0027521719412106904,-0.10681818181818187,0.4614250000000001,False
26,0.0023963818721313146,-0.10000000000000005,0.4614250000000001,False
27,0.0013314799807631061,-0.11818181818181821,0.4614250000000001,False
28,0.0017324049645139894,-0.09655172413793106,0.4614250000000001,False
29,0.0006146105947664182,-0.19,0.4614250000000001,False
30,0.0031636754206374462,-0.06600000000000002,0.4614250000000001,False
31,0.0022750817893211206,-0.11388888888888893,0.4614250000000001,False
32,0.0005659495154759497,-0.17777777777777778,0.4614250000000001,False
33,0.004421105932124192,-0.0813333333333333,0.4614250000000001,False
34,0.002612535799471516,-0.10000000000000005,0.4614250000000001,False
35,0.0006177841437420284,-0.16999999999999998,0.4614250000000001,False
36,0.0019979252042503504,-0.11290322580645164,0.4614250000000001,False
37,0.0009897945724333113,-0.14375,0.4614250000000001,False
38,0.0010356347202105098,-0.12352941176470586,0.4614250000000001,False
39,0.0009531224545753503,-0.13999999999999999,0.4614250000000001,False
40,0.0011544664876055322,-0.14736842105263162,0.4614250000000001,False
41,0.001435854470855702,-0.1166666666666667,0.4614250000000001,False
42,0.0030081715349297156,-0.09607843137254907,0.4614250000000001,False
